idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN;similaridade
0;AV ANTONIO PIRANGA CENTRO;614,0;107930;AVENIDA  ANTONIO PIRANGA CENTRO;615;100,0;99,0;99,9;"AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:99 fin:100); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:83 fin:98); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:82 fin:98); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:81 fin:98); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:74 fin:97); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:73 fin:97); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:69 fin:97); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:64 fin:96); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:59 fin:96); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:42 fin:94); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:26 fin:93); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:14 fin:91); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:11 fin:91); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:6 fin:91); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:6 fin:91); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:2 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90)";99,9
1;AVENIDA ANTONIO PIRANGA CENTRO;700,0;50282;AVENIDA  ANTONIO PIRANGA CENTRO;700;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:100 fin:100); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:97 fin:100); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:55 fin:96); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:41 fin:94); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:31 fin:93); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:15 fin:92); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90)";100,0
2;AV ANTONIO PIRANGA CENTRO;614,0;107930;AVENIDA  ANTONIO PIRANGA CENTRO;615;100,0;99,0;99,9;"AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:99 fin:100); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:83 fin:98); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:82 fin:98); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:81 fin:98); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:74 fin:97); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:73 fin:97); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:69 fin:97); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:64 fin:96); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:59 fin:96); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:42 fin:94); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:26 fin:93); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:14 fin:91); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:11 fin:91); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:6 fin:91); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:6 fin:91); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:2 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90); AVENIDA  ANTONIO PIRANGA CENTRO (txt:100 num:0 fin:90)";99,9
3;RUA DOS CARIRIS PIRAPORINHA;195,0;3541;RUA  DOS CARIRIS PIRAPORINHA;195;100,0;100,0;100,0;"RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:100 fin:100); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:100 fin:100); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:99 fin:100); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:99 fin:100); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:99 fin:100); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:99 fin:100); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:99 fin:100); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:93 fin:99); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:89 fin:99); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:85 fin:98); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:81 fin:98); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:73 fin:97); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:69 fin:97); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:69 fin:97); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:65 fin:96); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:65 fin:96); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:65 fin:96); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:62 fin:96); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:61 fin:96); RUA  DOS CARIRIS PIRAPORINHA (txt:100 num:61 fin:96)";100,0
4;RUA MOACIAR GOULART CUNHA CALDAS CENTRO;111,0;70850;RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO;111;85,0;100,0;86,5;"RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:100 fin:86); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:99 fin:86); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:98 fin:86); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:97 fin:86); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:93 fin:86); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:90 fin:86); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:90 fin:86); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:90 fin:86); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:89 fin:85); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:89 fin:85); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:86 fin:85); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:85 fin:85); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:83 fin:85); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:80 fin:84); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:79 fin:84); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:79 fin:84); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:78 fin:84); RUA  JAU CENTRO (txt:83 num:91 fin:84); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:75 fin:84); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (txt:85 num:73 fin:84)";86,5
5;PRACA RUI BARBOSA PIRAPORINHA;27,0;160130;PRACA  RUI BARBOSA PIRAPORINHA;27;100,0;100,0;100,0;"PRACA  RUI BARBOSA PIRAPORINHA (txt:100 num:100 fin:100); RUA  BARTIRA PIRAPORINHA (txt:77 num:99 fin:79); RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA (txt:79 num:78 fin:79); RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA (txt:79 num:77 fin:79); RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA (txt:79 num:77 fin:79); RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA (txt:79 num:77 fin:79); RUA  BARTIRA PIRAPORINHA (txt:77 num:97 fin:79); RUA  BARTIRA PIRAPORINHA (txt:77 num:97 fin:79); RUA  BARTIRA PIRAPORINHA (txt:77 num:97 fin:79); RUA  DAS PALMAS PIRAPORINHA (txt:76 num:98 fin:79); RUA  DAS PALMAS PIRAPORINHA (txt:76 num:98 fin:79); RUA  DAS PALMAS PIRAPORINHA (txt:76 num:94 fin:78); RUA  BARTIRA PIRAPORINHA (txt:77 num:87 fin:78); RUA  BARTIRA PIRAPORINHA (txt:77 num:85 fin:78); RUA  DAS PALMAS PIRAPORINHA (txt:76 num:90 fin:78); RUA  DAS PALMAS PIRAPORINHA (txt:76 num:90 fin:78); RUA  DAS PALMAS PIRAPORINHA (txt:76 num:87 fin:77); RUA  DAS PALMAS PIRAPORINHA (txt:76 num:85 fin:77); RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA (txt:79 num:59 fin:77); RUA  BARTIRA PIRAPORINHA (txt:77 num:79 fin:77)";100,0
6;AV NOSSA SENHORA DOS NAVEGANTES ELDORADO;288,0;43091;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;289;100,0;99,0;99,9;"AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:99 fin:100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:99 fin:100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:89 fin:99); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:81 fin:98); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:81 fin:98); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:81 fin:98); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:77 fin:98); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:77 fin:98); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:77 fin:98); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:77 fin:98); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:71 fin:97); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:67 fin:97); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:67 fin:97); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:59 fin:96); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:59 fin:96); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:59 fin:96); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:59 fin:96); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:59 fin:96); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:57 fin:96); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (txt:100 num:57 fin:96)";99,9
7;RUA CAPIBARIBE JARDIM CAMPANARIO;193,0;115200;RUA  CAPIBARIBE CAMPANARIO;193;100,0;100,0;100,0;"RUA  CAPIBARIBE CAMPANARIO (txt:100 num:100 fin:100); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:93 fin:99); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:93 fin:99); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:89 fin:99); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:89 fin:99); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:86 fin:99); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:85 fin:98); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:77 fin:98); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:77 fin:98); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:68 fin:97); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:61 fin:96); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:61 fin:96); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:61 fin:96); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:60 fin:96); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:60 fin:96); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:60 fin:96); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:56 fin:96); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:53 fin:95); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:53 fin:95); RUA  CAPIBARIBE CAMPANARIO (txt:100 num:47 fin:95)";100,0
8;AV PIRAPORINHA PIRAPORINHA;1682,0;30100;AVENIDA  PIRAPORINHA PIRAPORINHA;1682;100,0;100,0;100,0;"AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:100 fin:100); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:99 fin:100); AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA (txt:100 num:98 fin:100); AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA (txt:100 num:97 fin:100); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:95 fin:100); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:95 fin:100); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:91 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:87 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:87 fin:99); AVENIDA  PIRAPORINHA PIRAPORINHA (txt:100 num:87 fin:99)";100,0
9;RUA JOSE BONIFACIO SERRARIA;1641,0;74232;RUA  JOSE BONIFACIO SERRARIA;1641;100,0;100,0;100,0;"RUA  JOSE BONIFACIO SERRARIA (txt:100 num:100 fin:100); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:99 fin:100); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:99 fin:100); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:99 fin:100); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:99 fin:100); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:99 fin:100); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:99 fin:100); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:95 fin:100); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:91 fin:99); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:91 fin:99); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:91 fin:99); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:91 fin:99); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:91 fin:99); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:89 fin:99); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:89 fin:99); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:89 fin:99); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:85 fin:98); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:85 fin:98); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:85 fin:98); RUA  JOSE BONIFACIO SERRARIA (txt:100 num:81 fin:98)";100,0
