idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_top5;similaridade
22;RUA PRUDENTE DE MORAIS 300 JARDIM CASA GRANDE;300,0;139970;RUA  PRUDENTE DE MORAIS 300 CASA GRANDE;300;100,0;0;70,0;;70,0
23;AV LICO MAIA 803 SERRARIA;803,0;11343;AVENIDA  LICO MAIA 803 SERRARIA;803;100,0;0;70,0;;70,0
24;AVN PRESIDENTE JUSCELINO 759 PIRAPORINHA;759,0;64219;AVENIDA PRESIDENTE JUSCELINO 875 PIRAPORINHA;875;97,73;0;68,41;;68,41
25;AVENIDA SINESIO PEREIRA 27 CAMPANARIO;27,0;25087;AVENIDA  SYNESIO PEREIRA 27 CAMPANARIO;27;97,3;0;68,11;;68,11
26;AVENIDA AFRANIO PEIXOTO 643 VILA PAULINA;643,0;13421;AVENIDA  AFRANIO PEIXOTO 0 ELDORADO;0;80,7;0;56,49;"AVENIDA  AFRANIO PEIXOTO 0 ELDORADO (81); AVENIDA  AFRANIO PEIXOTO 0 ELDORADO (81); AVENIDA  AFRANIO PEIXOTO 0 ELDORADO (81); AVENIDA  AFRANIO PEIXOTO 27 ELDORADO (79); AVENIDA  AFRANIO PEIXOTO 89 ELDORADO (79)";56,49
27;RUA ITALIA 290 JARDIM DAS NACOES;290,0;151049;RUA  ITALIA 290 TABOAO;290;80,0;0;56,0;"RUA  ITALIA 290 TABOAO (80); AVENIDA  DAS NACOES 290 CANHEMA (71); AVENIDA  DAS NACOES 290 CANHEMA (71); AVENIDA  DAS NACOES 90 CANHEMA (69); AVENIDA  DAS NACOES 90 CANHEMA (69)";56,0
28;RUA GRACIOSA S/N CENTRO;;16347;RUA  GRACIOSA 0 CENTRO;0;95,0;0;66,5;;66,5
29;RUA CARAMURU 1255 VL CONCEICAO;1255,0;131520;RUA  CARAMURU 1255 CONCEICAO;1255;100,0;0;70,0;;70,0
30;RUA MANOEL DA NOBREGA 605 VL CONCEICAO;605,0;87427;RUA  MANOEL DA NOBREGA 0 CONCEICAO;0;96,88;0;67,81;;67,81
31;AVENIDA ANTONIO PIRANGA 700 CENTRO;700,0;50282;AVENIDA  ANTONIO PIRANGA 700 CENTRO;700;100,0;0;70,0;;70,0
32;RUA NELSON RODRIGUES 191 VL CONCEICAO;191,0;67716;RUA  NELSON RODRIGUES 191 CONCEICAO;191;100,0;0;70,0;;70,0
33;RUA SANTO AMARO 92 CENTRO;92,0;112213;RUA SANTO AMARO 92 CENTRO;92;100,0;0;70,0;;70,0
34;RUA COIMBRA 760 CENTRO;760,0;102803;RUA  COIMBRA 70 CENTRO;70;97,67;0;68,37;;68,37
35;RUA BOROROS 80 CONCEICAO;80,0;51832;RUA  BOROROS 480 CONCEICAO;480;97,96;0;68,57;;68,57
36;AVENIDA ANTONIO PIRANGA 556 CENTRO;556,0;61402;AVENIDA  ANTONIO PIRANGA 556 CENTRO;556;100,0;0;70,0;;70,0
37;RUA JAVARI 635 JARDIM PAINEIRAS;635,0;21410;RUA  JAVARI 635 TABOAO;635;80,0;0;56,0;"RUA  JAVARI 635 TABOAO (80); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69)";56,0
38;RUA SAO JORGE 98 CENTRO;98,0;28001;RUA SAO JORGE 98 CENTRO;98;100,0;0;70,0;;70,0
39;ANTONIO PIRANGA 556 CENTRO;556,0;61402;AVENIDA  ANTONIO PIRANGA 556 CENTRO;556;100,0;0;70,0;;70,0
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO;332,0;938;AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO;332;100,0;0;70,0;;70,0
