idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_top5;similaridade
0;AV ANTONIO PIRANGA 614 CENTRO;614,0;39597;AVENIDA  ANTONIO PIRANGA 61 CENTRO;61;98,51;0;68,96;;68,96
1;AVENIDA ANTONIO PIRANGA 700 CENTRO;700,0;50282;AVENIDA  ANTONIO PIRANGA 700 CENTRO;700;100,0;0;70,0;;70,0
2;AV ANTONIO PIRANGA 614 CENTRO;614,0;39597;AVENIDA  ANTONIO PIRANGA 61 CENTRO;61;98,51;0;68,96;;68,96
3;RUA DOS CARIRIS 195 PIRAPORINHA;195,0;3541;RUA  DOS CARIRIS 195 PIRAPORINHA;195;100,0;0;70,0;;70,0
4;RUA MOACIAR GOULART CUNHA CALDAS 111 CENTRO;111,0;70850;RUA  MOACYR GOULART CUNHA CALDAS 111 CONCEICAO;111;86,36;0;60,45;;60,45
5;PRACA RUI BARBOSA 27 PIRAPORINHA;27,0;160130;PRACA  RUI BARBOSA 27 PIRAPORINHA;27;100,0;0;70,0;;70,0
6;AV NOSSA SENHORA DOS NAVEGANTES 288 ELDORADO;288,0;43091;AVENIDA NOSSA SENHORA DOS NAVEGANTES 289 ELDORADO;289;97,96;0;68,57;;68,57
7;RUA CAPIBARIBE 193 JARDIM CAMPANARIO;193,0;115200;RUA  CAPIBARIBE 193 CAMPANARIO;193;100,0;0;70,0;;70,0
8;AV PIRAPORINHA 1682 PIRAPORINHA;1682,0;30100;AVENIDA  PIRAPORINHA 1682 PIRAPORINHA;1682;100,0;0;70,0;;70,0
9;RUA JOSE BONIFACIO 1641 SERRARIA;1641,0;74232;RUA  JOSE BONIFACIO 1641 SERRARIA;1641;100,0;0;70,0;;70,0
10;RUA TIRADENTES 100 CENTRO;100,0;39595;RUA  TIRADENTES 100 CENTRO;100;100,0;0;70,0;;70,0
11;RUA MEM DE SA 280 JARDIM CASA GRANDE;280,0;172305;RUA  MEM DE SA 280 CASA GRANDE;280;100,0;0;70,0;;70,0
12;AVN SAO JOSE 472 CENTRO;472,0;89141;AVENIDA SAO JOSE 472 CENTRO;472;100,0;0;70,0;;70,0
13;RUA SERRA DE MARACUJA 49 PARQUE REID;49,0;69982;RUA  SERRA DE MARACUJA 49 CENTRO;49;87,27;0;61,09;;61,09
14;RUA BARAO DE IGUAPE 98 VIL SAO JOSE;98,0;162137;RUA  IGUAPE 98 TABOAO;98;78,79;0;55,15;"RUA  IGUAPE 98 TABOAO (79); RUA  IGUAPE 98 TABOAO (79); RUA  IGUAPE 98 TABOAO (79); RUA  IGUAPE 98 TABOAO (79); RUA BARAO DE IGUAPE 98 PIRAPORINHA (79)";55,15
15;RUA SEBASTIAO FERNANDES TOURINHO 285 VIL NOGUEIRA;285,0;27959;RUA  SEBASTIAO FERNANDES TOURINHO 285 VILA NOGUEIRA;285;98,99;0;69,29;;69,29
16;RUA DAS AMEIXEIRAS 679 JD ABC;679,0;165970;RUA  DAS AMEIXEIRAS 979 TABOAO;979;80,65;0;56,45;"RUA  DAS AMEIXEIRAS 979 TABOAO (81); RUA  DAS AMEIXEIRAS 967 TABOAO (81); RUA  DAS AMEIXEIRAS 1169 TABOAO (79); RUA  DAS AMEIXEIRAS 941 TABOAO (77); RUA  DAS AMEIXEIRAS 955 TABOAO (77)";56,45
17;RUA 22 DE ABRIL 113 JD CANHEMA;113,0;43122;RUA  SETE DE ABRIL 64 CANHEMA;64;83,33;0;58,33;"RUA  SETE DE ABRIL 64 CANHEMA (83); RUA  SETE DE ABRIL 84 CANHEMA (83); RUA  SETE DE ABRIL 84 CANHEMA (83); RUA  SETE DE ABRIL 98 CANHEMA (83); RUA  SETE DE ABRIL 80 CANHEMA (83)";58,33
18;RUA JOSE VICENTE 122 JD INAMAR;122,0;99539;RUA  JOSE VICENTE 122 INAMAR;122;100,0;0;70,0;;70,0
19;RUA JAVARI 635 JD PAINEIRAS;635,0;21410;RUA  JAVARI 635 TABOAO;635;80,0;0;56,0;"RUA  JAVARI 635 TABOAO (80); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69)";56,0
20;AV ELDORADO 817 JARDIM RUYCE;817,0;98493;AVENIDA  ELDORADO 817 JARDIM RUYCE;817;100,0;0;70,0;;70,0
21;RUA ODETE AMARAL DE OLIVEIRA 129 PRQ REAL;129,0;168293;RUA  ODETE AMARAL DE OLIVEIRA 129 CONCEICAO;129;87,67;0;61,37;;61,37
