idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN;similaridade
0;AV ANTONIO PIRANGA CENTRO;614,0;107930;AVENIDA  ANTONIO PIRANGA CENTRO;615;100,0;0,0;99,9;"AVENIDA  ANTONIO PIRANGA CENTRO 615 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Similaridade Texto: 100 | Similaridade Numero: 83 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Similaridade Texto: 100 | Similaridade Numero: 82 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Similaridade Texto: 100 | Similaridade Numero: 81 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Similaridade Texto: 100 | Similaridade Numero: 74 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Similaridade Texto: 100 | Similaridade Numero: 73 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Similaridade Texto: 100 | Similaridade Numero: 69 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Similaridade Texto: 100 | Similaridade Numero: 64 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Similaridade Texto: 100 | Similaridade Numero: 59 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 556 | Similaridade Texto: 100 | Similaridade Numero: 42 | Score Final: 94; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Similaridade Texto: 100 | Similaridade Numero: 26 | Score Final: 93; AVENIDA  ANTONIO PIRANGA CENTRO 700 | Similaridade Texto: 100 | Similaridade Numero: 14 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 703 | Similaridade Texto: 100 | Similaridade Numero: 11 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Similaridade Texto: 100 | Similaridade Numero: 6 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Similaridade Texto: 100 | Similaridade Numero: 6 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Similaridade Texto: 100 | Similaridade Numero: 2 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 125 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 173 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 163 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 141 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90";99,9
1;AVENIDA ANTONIO PIRANGA CENTRO;700,0;107959;AVENIDA  ANTONIO PIRANGA CENTRO;703;100,0;0,0;99,7;"AVENIDA  ANTONIO PIRANGA CENTRO 703 | Similaridade Texto: 100 | Similaridade Numero: 97 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Similaridade Texto: 100 | Similaridade Numero: 55 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Similaridade Texto: 100 | Similaridade Numero: 41 | Score Final: 94; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Similaridade Texto: 100 | Similaridade Numero: 31 | Score Final: 93; AVENIDA  ANTONIO PIRANGA CENTRO 615 | Similaridade Texto: 100 | Similaridade Numero: 15 | Score Final: 92; AVENIDA  ANTONIO PIRANGA CENTRO 125 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 173 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 163 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 141 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 159 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 149 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 79 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 169 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 69 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 0 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 0 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 192 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 0 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 88 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 50 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90";99,7
2;AV ANTONIO PIRANGA CENTRO;614,0;107930;AVENIDA  ANTONIO PIRANGA CENTRO;615;100,0;0,0;99,9;"AVENIDA  ANTONIO PIRANGA CENTRO 615 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Similaridade Texto: 100 | Similaridade Numero: 83 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Similaridade Texto: 100 | Similaridade Numero: 82 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Similaridade Texto: 100 | Similaridade Numero: 81 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Similaridade Texto: 100 | Similaridade Numero: 74 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Similaridade Texto: 100 | Similaridade Numero: 73 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Similaridade Texto: 100 | Similaridade Numero: 69 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Similaridade Texto: 100 | Similaridade Numero: 64 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Similaridade Texto: 100 | Similaridade Numero: 59 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 556 | Similaridade Texto: 100 | Similaridade Numero: 42 | Score Final: 94; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Similaridade Texto: 100 | Similaridade Numero: 26 | Score Final: 93; AVENIDA  ANTONIO PIRANGA CENTRO 700 | Similaridade Texto: 100 | Similaridade Numero: 14 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 703 | Similaridade Texto: 100 | Similaridade Numero: 11 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Similaridade Texto: 100 | Similaridade Numero: 6 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Similaridade Texto: 100 | Similaridade Numero: 6 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Similaridade Texto: 100 | Similaridade Numero: 2 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 125 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 173 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 163 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 141 | Similaridade Texto: 100 | Similaridade Numero: 0 | Score Final: 90";99,9
3;RUA DOS CARIRIS PIRAPORINHA;195,0;25710;RUA  DOS CARIRIS PIRAPORINHA;194;100,0;61,0;99,9;"RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 202 | Similaridade Texto: 100 | Similaridade Numero: 93 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 206 | Similaridade Texto: 100 | Similaridade Numero: 89 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 210 | Similaridade Texto: 100 | Similaridade Numero: 85 | Score Final: 98; RUA  DOS CARIRIS PIRAPORINHA 214 | Similaridade Texto: 100 | Similaridade Numero: 81 | Score Final: 98; AVENIDA  PIRAPORINHA PIRAPORINHA 169 | Similaridade Texto: 100 | Similaridade Numero: 74 | Score Final: 97; RUA  DOS CARIRIS PIRAPORINHA 222 | Similaridade Texto: 100 | Similaridade Numero: 73 | Score Final: 97; RUA  DOS CARIRIS PIRAPORINHA 226 | Similaridade Texto: 100 | Similaridade Numero: 69 | Score Final: 97; RUA  DOS CARIRIS PIRAPORINHA 226 | Similaridade Texto: 100 | Similaridade Numero: 69 | Score Final: 97; RUA  DOS CARIRIS PIRAPORINHA 230 | Similaridade Texto: 100 | Similaridade Numero: 65 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 230 | Similaridade Texto: 100 | Similaridade Numero: 65 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 230 | Similaridade Texto: 100 | Similaridade Numero: 65 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 157 | Similaridade Texto: 100 | Similaridade Numero: 62 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 156 | Similaridade Texto: 100 | Similaridade Numero: 61 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 156 | Similaridade Texto: 100 | Similaridade Numero: 61 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 156 | Similaridade Texto: 100 | Similaridade Numero: 61 | Score Final: 96";99,9
4;RUA MOACIAR GOULART CUNHA CALDAS CENTRO;111,0;26580;RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO;112;83,33;69,0;84,9;"RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 112 | Similaridade Texto: 83 | Similaridade Numero: 99 | Score Final: 85; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 109 | Similaridade Texto: 83 | Similaridade Numero: 98 | Score Final: 85; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 108 | Similaridade Texto: 83 | Similaridade Numero: 97 | Score Final: 85; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 118 | Similaridade Texto: 83 | Similaridade Numero: 93 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 101 | Similaridade Texto: 83 | Similaridade Numero: 90 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 121 | Similaridade Texto: 83 | Similaridade Numero: 90 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 121 | Similaridade Texto: 83 | Similaridade Numero: 90 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 122 | Similaridade Texto: 83 | Similaridade Numero: 89 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 100 | Similaridade Texto: 83 | Similaridade Numero: 89 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 125 | Similaridade Texto: 83 | Similaridade Numero: 86 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 96 | Similaridade Texto: 83 | Similaridade Numero: 85 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 128 | Similaridade Texto: 83 | Similaridade Numero: 83 | Score Final: 83; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 91 | Similaridade Texto: 83 | Similaridade Numero: 80 | Score Final: 83; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 132 | Similaridade Texto: 83 | Similaridade Numero: 79 | Score Final: 83; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 90 | Similaridade Texto: 83 | Similaridade Numero: 79 | Score Final: 83; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 133 | Similaridade Texto: 83 | Similaridade Numero: 78 | Score Final: 83; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 86 | Similaridade Texto: 83 | Similaridade Numero: 75 | Score Final: 82; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 138 | Similaridade Texto: 83 | Similaridade Numero: 73 | Score Final: 82; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 81 | Similaridade Texto: 83 | Similaridade Numero: 70 | Score Final: 82; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 80 | Similaridade Texto: 83 | Similaridade Numero: 69 | Score Final: 82";84,9
5;PRACA RUI BARBOSA PIRAPORINHA;27,0;88673;AVENIDA  PIRAPORINHA PIRAPORINHA;19;100,0;36,0;99,2;"AVENIDA  PIRAPORINHA PIRAPORINHA 19 | Similaridade Texto: 100 | Similaridade Numero: 92 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 19 | Similaridade Texto: 100 | Similaridade Numero: 92 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 19 | Similaridade Texto: 100 | Similaridade Numero: 92 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 19 | Similaridade Texto: 100 | Similaridade Numero: 92 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 43 | Similaridade Texto: 100 | Similaridade Numero: 84 | Score Final: 98; AVENIDA  PIRAPORINHA PIRAPORINHA 11 | Similaridade Texto: 100 | Similaridade Numero: 84 | Score Final: 98; AVENIDA  PIRAPORINHA PIRAPORINHA 49 | Similaridade Texto: 100 | Similaridade Numero: 78 | Score Final: 98; AVENIDA  PIRAPORINHA PIRAPORINHA 51 | Similaridade Texto: 100 | Similaridade Numero: 76 | Score Final: 98; AVENIDA  PIRAPORINHA PIRAPORINHA 0 | Similaridade Texto: 100 | Similaridade Numero: 73 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 0 | Similaridade Texto: 100 | Similaridade Numero: 73 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 57 | Similaridade Texto: 100 | Similaridade Numero: 70 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 57 | Similaridade Texto: 100 | Similaridade Numero: 70 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 57 | Similaridade Texto: 100 | Similaridade Numero: 70 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 57 | Similaridade Texto: 100 | Similaridade Numero: 70 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 61 | Similaridade Texto: 100 | Similaridade Numero: 66 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 65 | Similaridade Texto: 100 | Similaridade Numero: 62 | Score Final: 96; AVENIDA  PIRAPORINHA PIRAPORINHA 83 | Similaridade Texto: 100 | Similaridade Numero: 44 | Score Final: 94; AVENIDA  PIRAPORINHA PIRAPORINHA 91 | Similaridade Texto: 100 | Similaridade Numero: 36 | Score Final: 94; AVENIDA  PIRAPORINHA PIRAPORINHA 91 | Similaridade Texto: 100 | Similaridade Numero: 36 | Score Final: 94; AVENIDA  PIRAPORINHA PIRAPORINHA 91 | Similaridade Texto: 100 | Similaridade Numero: 36 | Score Final: 94";99,2
6;AV NOSSA SENHORA DOS NAVEGANTES ELDORADO;288,0;43091;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;289;100,0;57,0;99,9;"AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 289 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 289 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 299 | Similaridade Texto: 100 | Similaridade Numero: 89 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Similaridade Texto: 100 | Similaridade Numero: 81 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Similaridade Texto: 100 | Similaridade Numero: 81 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Similaridade Texto: 100 | Similaridade Numero: 81 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Similaridade Texto: 100 | Similaridade Numero: 77 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Similaridade Texto: 100 | Similaridade Numero: 77 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Similaridade Texto: 100 | Similaridade Numero: 77 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Similaridade Texto: 100 | Similaridade Numero: 77 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 259 | Similaridade Texto: 100 | Similaridade Numero: 71 | Score Final: 97; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 321 | Similaridade Texto: 100 | Similaridade Numero: 67 | Score Final: 97; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 321 | Similaridade Texto: 100 | Similaridade Numero: 67 | Score Final: 97; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Numero: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Numero: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Numero: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Numero: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Numero: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 245 | Similaridade Texto: 100 | Similaridade Numero: 57 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 245 | Similaridade Texto: 100 | Similaridade Numero: 57 | Score Final: 96";99,9
7;RUA CAPIBARIBE JARDIM CAMPANARIO;193,0;168971;RUA  CAPIBARIBE CAMPANARIO;200;100,0;47,0;99,3;"RUA  CAPIBARIBE CAMPANARIO 200 | Similaridade Texto: 100 | Similaridade Numero: 93 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 200 | Similaridade Texto: 100 | Similaridade Numero: 93 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 182 | Similaridade Texto: 100 | Similaridade Numero: 89 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 182 | Similaridade Texto: 100 | Similaridade Numero: 89 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 179 | Similaridade Texto: 100 | Similaridade Numero: 86 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 193 | Similaridade Texto: 100 | Similaridade Numero: 86 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 208 | Similaridade Texto: 100 | Similaridade Numero: 85 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 170 | Similaridade Texto: 100 | Similaridade Numero: 77 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 216 | Similaridade Texto: 100 | Similaridade Numero: 77 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 161 | Similaridade Texto: 100 | Similaridade Numero: 68 | Score Final: 97; RUA  CAPIBARIBE CAMPANARIO 154 | Similaridade Texto: 100 | Similaridade Numero: 61 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 154 | Similaridade Texto: 100 | Similaridade Numero: 61 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 154 | Similaridade Texto: 100 | Similaridade Numero: 61 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 153 | Similaridade Texto: 100 | Similaridade Numero: 60 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 153 | Similaridade Texto: 100 | Similaridade Numero: 60 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 153 | Similaridade Texto: 100 | Similaridade Numero: 60 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 149 | Similaridade Texto: 100 | Similaridade Numero: 56 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 146 | Similaridade Texto: 100 | Similaridade Numero: 53 | Score Final: 95; RUA  CAPIBARIBE CAMPANARIO 146 | Similaridade Texto: 100 | Similaridade Numero: 53 | Score Final: 95; RUA  CAPIBARIBE CAMPANARIO 140 | Similaridade Texto: 100 | Similaridade Numero: 47 | Score Final: 95";99,3
8;AV PIRAPORINHA PIRAPORINHA;1682,0;51204;AVENIDA  PIRAPORINHA PIRAPORINHA;1683;100,0;87,0;99,9;"AVENIDA  PIRAPORINHA PIRAPORINHA 1683 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA 1680 | Similaridade Texto: 100 | Similaridade Numero: 98 | Score Final: 100; AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA 1685 | Similaridade Texto: 100 | Similaridade Numero: 97 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1677 | Similaridade Texto: 100 | Similaridade Numero: 95 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1687 | Similaridade Texto: 100 | Similaridade Numero: 95 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1673 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Similaridade Texto: 100 | Similaridade Numero: 87 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Similaridade Texto: 100 | Similaridade Numero: 87 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Similaridade Texto: 100 | Similaridade Numero: 87 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Similaridade Texto: 100 | Similaridade Numero: 87 | Score Final: 99";99,9
9;RUA JOSE BONIFACIO SERRARIA;1641,0;73883;RUA  JOSE BONIFACIO SERRARIA;1642;100,0;81,0;99,9;"RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Numero: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1636 | Similaridade Texto: 100 | Similaridade Numero: 95 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Numero: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1630 | Similaridade Texto: 100 | Similaridade Numero: 89 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1630 | Similaridade Texto: 100 | Similaridade Numero: 89 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1630 | Similaridade Texto: 100 | Similaridade Numero: 89 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1656 | Similaridade Texto: 100 | Similaridade Numero: 85 | Score Final: 98; RUA  JOSE BONIFACIO SERRARIA 1656 | Similaridade Texto: 100 | Similaridade Numero: 85 | Score Final: 98; RUA  JOSE BONIFACIO SERRARIA 1656 | Similaridade Texto: 100 | Similaridade Numero: 85 | Score Final: 98; RUA  JOSE BONIFACIO SERRARIA 1660 | Similaridade Texto: 100 | Similaridade Numero: 81 | Score Final: 98; RUA  JOSE BONIFACIO SERRARIA 1660 | Similaridade Texto: 100 | Similaridade Numero: 81 | Score Final: 98";99,9
