idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_top5;similaridade
0;AV ANTONIO PIRANGA 614 CENTRO;614,0;39597;AVENIDA  ANTONIO PIRANGA 61 CENTRO;61;98,51;0,0;88,66;"AVENIDA  ANTONIO PIRANGA 61 CENTRO (99); AVENIDA  ANTONIO PIRANGA 141 CENTRO (97); AVENIDA  ANTONIO PIRANGA 149 CENTRO (97); AVENIDA  ANTONIO PIRANGA 142 CENTRO (97); AVENIDA  ANTONIO PIRANGA 114 CENTRO (97)";88,66
1;AVENIDA ANTONIO PIRANGA 700 CENTRO;700,0;50282;AVENIDA  ANTONIO PIRANGA 700 CENTRO;700;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA 700 CENTRO (100); AVENIDA  ANTONIO PIRANGA 100 CENTRO (97); AVENIDA  ANTONIO PIRANGA 703 CENTRO (97); AVENIDA  ANTONIO PIRANGA 0 CENTRO (97); AVENIDA  ANTONIO PIRANGA 0 CENTRO (97)";100,0
2;AV ANTONIO PIRANGA 614 CENTRO;614,0;39597;AVENIDA  ANTONIO PIRANGA 61 CENTRO;61;98,51;0,0;88,66;"AVENIDA  ANTONIO PIRANGA 61 CENTRO (99); AVENIDA  ANTONIO PIRANGA 141 CENTRO (97); AVENIDA  ANTONIO PIRANGA 149 CENTRO (97); AVENIDA  ANTONIO PIRANGA 142 CENTRO (97); AVENIDA  ANTONIO PIRANGA 114 CENTRO (97)";88,66
3;RUA DOS CARIRIS 195 PIRAPORINHA;195,0;3541;RUA  DOS CARIRIS 195 PIRAPORINHA;195;100,0;100,0;100,0;"RUA  DOS CARIRIS 195 PIRAPORINHA (100); RUA  DOS CARIRIS 195 PIRAPORINHA (100); RUA  DOS CARIRIS 95 PIRAPORINHA (98); RUA  DOS CARIRIS 156 PIRAPORINHA (97); RUA  DOS CARIRIS 156 PIRAPORINHA (97)";100,0
4;RUA MOACIAR GOULART CUNHA CALDAS 111 CENTRO;111,0;70850;RUA  MOACYR GOULART CUNHA CALDAS 111 CONCEICAO;111;86,36;100,0;87,73;"RUA  MOACYR GOULART CUNHA CALDAS 111 CONCEICAO (86); RUA  MOACYR GOULART CUNHA CALDAS 118 CONCEICAO (84); RUA  MOACYR GOULART CUNHA CALDAS 112 CONCEICAO (84); RUA  MOACYR GOULART CUNHA CALDAS 101 CONCEICAO (84); RUA  MOACYR GOULART CUNHA CALDAS 121 CONCEICAO (84)";87,73
5;PRACA RUI BARBOSA 27 PIRAPORINHA;27,0;160130;PRACA  RUI BARBOSA 27 PIRAPORINHA;27;100,0;100,0;100,0;"PRACA  RUI BARBOSA 27 PIRAPORINHA (100); RUA  DAS PALMAS 237 PIRAPORINHA (77); RUA  DAS PALMAS 272 PIRAPORINHA (77); RUA  DAS PALMAS 272 PIRAPORINHA (77); RUA  DAS PALMAS 277 PIRAPORINHA (77)";100,0
6;AV NOSSA SENHORA DOS NAVEGANTES 288 ELDORADO;288,0;43091;AVENIDA NOSSA SENHORA DOS NAVEGANTES 289 ELDORADO;289;97,96;98,0;97,96;"AVENIDA NOSSA SENHORA DOS NAVEGANTES 289 ELDORADO (98); AVENIDA NOSSA SENHORA DOS NAVEGANTES 289 ELDORADO (98); AVENIDA NOSSA SENHORA DOS NAVEGANTES 728 ELDORADO (98); AVENIDA NOSSA SENHORA DOS NAVEGANTES 728 ELDORADO (98); AVENIDA NOSSA SENHORA DOS NAVEGANTES 0 ELDORADO (98)";97,96
7;RUA CAPIBARIBE 193 JARDIM CAMPANARIO;193,0;115200;RUA  CAPIBARIBE 193 CAMPANARIO;193;100,0;100,0;100,0;"RUA  CAPIBARIBE 193 CAMPANARIO (100); RUA  CAPIBARIBE 0 CAMPANARIO (96); RUA  CAPIBARIBE 67 CAMPANARIO (94); RUA  CAPIBARIBE 95 CAMPANARIO (94); RUA  CAPIBARIBE 83 CAMPANARIO (94)";100,0
8;AV PIRAPORINHA 1682 PIRAPORINHA;1682,0;30100;AVENIDA  PIRAPORINHA 1682 PIRAPORINHA;1682;100,0;100,0;100,0;"AVENIDA  PIRAPORINHA 1682 PIRAPORINHA (100); AVENIDA  PIRAPORINHA 1642 PIRAPORINHA (96); AVENIDA  PIRAPORINHA 1768 PIRAPORINHA (96); AVENIDA  PIRAPORINHA 1612 PIRAPORINHA (96); AVENIDA  PIRAPORINHA 1687 PIRAPORINHA (96)";100,0
9;RUA JOSE BONIFACIO 1641 SERRARIA;1641,0;74232;RUA  JOSE BONIFACIO 1641 SERRARIA;1641;100,0;100,0;100,0;"RUA  JOSE BONIFACIO 1641 SERRARIA (100); RUA  JOSE BONIFACIO 1364 SERRARIA (97); RUA  JOSE BONIFACIO 1364 SERRARIA (97); RUA  JOSE BONIFACIO 1364 SERRARIA (97); RUA  JOSE BONIFACIO 1364 SERRARIA (97)";100,0
10;RUA TIRADENTES 100 CENTRO;100,0;39595;RUA  TIRADENTES 100 CENTRO;100;100,0;100,0;100,0;"RUA  TIRADENTES 100 CENTRO (100); RUA  TIRADENTES 130 CENTRO (96); RUA  TIRADENTES 140 CENTRO (96); RUA  TIRADENTES 130 CENTRO (96); RUA  TIRADENTES 130 CENTRO (96)";100,0
11;RUA MEM DE SA 280 JARDIM CASA GRANDE;280,0;172305;RUA  MEM DE SA 280 CASA GRANDE;280;100,0;100,0;100,0;"RUA  MEM DE SA 280 CASA GRANDE (100); RUA  MEM DE SA 0 CASA GRANDE (96); RUA  MEM DE SA 0 CASA GRANDE (96); RUA  MEM DE SA 0 CASA GRANDE (96); RUA  MEM DE SA 0 CASA GRANDE (96)";100,0
12;AVN SAO JOSE 472 CENTRO;472,0;89141;AVENIDA SAO JOSE 472 CENTRO;472;100,0;100,0;100,0;"AVENIDA SAO JOSE 472 CENTRO (100); AVENIDA SAO JOSE 547 CENTRO (96); AVENIDA SAO JOSE 425 CENTRO (96); AVENIDA SAO JOSE 417 CENTRO (96); AVENIDA SAO JOSE 423 CENTRO (96)";100,0
13;RUA SERRA DE MARACUJA 49 PARQUE REID;49,0;69982;RUA  SERRA DE MARACUJA 49 CENTRO;49;87,27;100,0;88,55;"RUA  SERRA DE MARACUJA 49 CENTRO (87); RUA  SERRA DE MARACUJA 70 CENTRO (81); RUA  SERRA DE MARACUJA 76 CENTRO (81); RUA  SERRA DE MARACUJA 64 CENTRO (81); RUA  SERRA DE MARACUJA 54 CENTRO (81)";88,55
14;RUA BARAO DE IGUAPE 98 VIL SAO JOSE;98,0;162137;RUA  IGUAPE 98 TABOAO;98;78,79;100,0;80,91;"RUA  IGUAPE 98 TABOAO (79); RUA  IGUAPE 98 TABOAO (79); RUA  IGUAPE 98 TABOAO (79); RUA  IGUAPE 98 TABOAO (79); RUA BARAO DE IGUAPE 98 PIRAPORINHA (79)";80,91
15;RUA SEBASTIAO FERNANDES TOURINHO 285 VIL NOGUEIRA;285,0;27959;RUA  SEBASTIAO FERNANDES TOURINHO 285 VILA NOGUEIRA;285;98,99;100,0;99,09;"RUA  SEBASTIAO FERNANDES TOURINHO 285 VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO 25 VILA NOGUEIRA (98); RUA  SEBASTIAO FERNANDES TOURINHO 85 VILA NOGUEIRA (98); RUA  SEBASTIAO FERNANDES TOURINHO 625 VILA NOGUEIRA (97); RUA  SEBASTIAO FERNANDES TOURINHO 625 VILA NOGUEIRA (97)";99,09
16;RUA DAS AMEIXEIRAS 679 JD ABC;679,0;165970;RUA  DAS AMEIXEIRAS 979 TABOAO;979;80,65;0,0;72,58;"RUA  DAS AMEIXEIRAS 979 TABOAO (81); RUA  DAS AMEIXEIRAS 967 TABOAO (81); RUA  DAS AMEIXEIRAS 1169 TABOAO (79); RUA  DAS AMEIXEIRAS 941 TABOAO (77); RUA  DAS AMEIXEIRAS 955 TABOAO (77)";72,58
17;RUA 22 DE ABRIL 113 JD CANHEMA;113,0;43708;RUA  SETE DE ABRIL 98 CANHEMA;98;83,33;70,0;82,0;"RUA  SETE DE ABRIL 64 CANHEMA (83); RUA  SETE DE ABRIL 84 CANHEMA (83); RUA  SETE DE ABRIL 84 CANHEMA (83); RUA  SETE DE ABRIL 98 CANHEMA (83); RUA  SETE DE ABRIL 80 CANHEMA (83)";82,0
18;RUA JOSE VICENTE 122 JD INAMAR;122,0;99539;RUA  JOSE VICENTE 122 INAMAR;122;100,0;100,0;100,0;"RUA  JOSE VICENTE 122 INAMAR (100); RUA  JOSE VICENTE 0 INAMAR (96); RUA  JOSE VICENTE 0 INAMAR (96); RUA  JOSE VICENTE 0 INAMAR (96); RUA  JOSE VICENTE 0 INAMAR (96)";100,0
19;RUA JAVARI 635 JD PAINEIRAS;635,0;21410;RUA  JAVARI 635 TABOAO;635;80,0;100,0;82,0;"RUA  JAVARI 635 TABOAO (80); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69)";82,0
20;AV ELDORADO 817 JARDIM RUYCE;817,0;98493;AVENIDA  ELDORADO 817 JARDIM RUYCE;817;100,0;100,0;100,0;"AVENIDA  ELDORADO 817 JARDIM RUYCE (100); AVENIDA  ELDORADO 729 JARDIM RUYCE (94); AVENIDA  ELDORADO 727 JARDIM RUYCE (94); AVENIDA  ELDORADO 679 JARDIM RUYCE (94); AVENIDA  ELDORADO 689 JARDIM RUYCE (94)";100,0
21;RUA ODETE AMARAL DE OLIVEIRA 129 PRQ REAL;129,0;168293;RUA  ODETE AMARAL DE OLIVEIRA 129 CONCEICAO;129;87,67;100,0;88,9;"RUA  ODETE AMARAL DE OLIVEIRA 129 CONCEICAO (88); RUA  ODETE AMARAL DE OLIVEIRA 195 SERRARIA (85); RUA  ODETE AMARAL DE OLIVEIRA 239 SERRARIA (85); RUA  ODETE AMARAL DE OLIVEIRA 229 SERRARIA (85); RUA  ODETE AMARAL DE OLIVEIRA 269 SERRARIA (85)";88,9
