idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_top5;similaridade
22;RUA PRUDENTE DE MORAIS 300 JARDIM CASA GRANDE;300,0;139970;RUA  PRUDENTE DE MORAIS 300 CASA GRANDE;300;100,0;100,0;100,0;"RUA  PRUDENTE DE MORAIS 300 CASA GRANDE (100); RUA  PRUDENTE DE MORAIS 0 CASA GRANDE (97); RUA  PRUDENTE DE MORAIS 0 CASA GRANDE (97); RUA  PRUDENTE DE MORAIS 31 CASA GRANDE (96); RUA  PRUDENTE DE MORAIS 97 CASA GRANDE (96)";100,0
23;AV LICO MAIA 803 SERRARIA;803,0;11343;AVENIDA  LICO MAIA 803 SERRARIA;803;100,0;100,0;100,0;"AVENIDA  LICO MAIA 803 SERRARIA (100); AVENIDA  LICO MAIA 680 SERRARIA (97); AVENIDA  LICO MAIA 808 SERRARIA (97); AVENIDA  LICO MAIA 808 SERRARIA (97); AVENIDA  LICO MAIA 0 SERRARIA (97)";100,0
24;AVN PRESIDENTE JUSCELINO 759 PIRAPORINHA;759,0;64219;AVENIDA PRESIDENTE JUSCELINO 875 PIRAPORINHA;875;97,73;0,0;87,95;"AVENIDA PRESIDENTE JUSCELINO 875 PIRAPORINHA (98); AVENIDA PRESIDENTE JUSCELINO 875 PIRAPORINHA (98); AVENIDA PRESIDENTE JUSCELINO 875 PIRAPORINHA (98); AVENIDA PRESIDENTE JUSCELINO 875 PIRAPORINHA (98); AVENIDA PRESIDENTE JUSCELINO 875 PIRAPORINHA (98)";87,95
25;AVENIDA SINESIO PEREIRA 27 CAMPANARIO;27,0;25087;AVENIDA  SYNESIO PEREIRA 27 CAMPANARIO;27;97,3;100,0;97,57;"AVENIDA  SYNESIO PEREIRA 27 CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA 287 CAMPANARIO (96); AVENIDA  SYNESIO PEREIRA 287 CAMPANARIO (96); AVENIDA  SYNESIO PEREIRA 227 CAMPANARIO (96); AVENIDA  SYNESIO PEREIRA 275 CAMPANARIO (96)";97,57
26;AVENIDA AFRANIO PEIXOTO 643 VILA PAULINA;643,0;13421;AVENIDA  AFRANIO PEIXOTO 0 ELDORADO;0;80,7;0,0;72,63;"AVENIDA  AFRANIO PEIXOTO 0 ELDORADO (81); AVENIDA  AFRANIO PEIXOTO 0 ELDORADO (81); AVENIDA  AFRANIO PEIXOTO 0 ELDORADO (81); AVENIDA  AFRANIO PEIXOTO 27 ELDORADO (79); AVENIDA  AFRANIO PEIXOTO 89 ELDORADO (79)";72,63
27;RUA ITALIA 290 JARDIM DAS NACOES;290,0;151049;RUA  ITALIA 290 TABOAO;290;80,0;100,0;82,0;"RUA  ITALIA 290 TABOAO (80); AVENIDA  DAS NACOES 290 CANHEMA (71); AVENIDA  DAS NACOES 290 CANHEMA (71); AVENIDA  DAS NACOES 90 CANHEMA (69); AVENIDA  DAS NACOES 90 CANHEMA (69)";82,0
28;RUA GRACIOSA S/N CENTRO;;16347;RUA  GRACIOSA 0 CENTRO;0;95,0;0,0;85,5;"RUA  GRACIOSA 0 CENTRO (95); RUA  GRACIOSA 0 CENTRO (95); RUA  GRACIOSA 0 CENTRO (95); RUA  GRACIOSA 0 CENTRO (95); RUA  GRACIOSA 0 CENTRO (95)";85,5
29;RUA CARAMURU 1255 VL CONCEICAO;1255,0;131520;RUA  CARAMURU 1255 CONCEICAO;1255;100,0;100,0;100,0;"RUA  CARAMURU 1255 CONCEICAO (100); RUA  CARAMURU 1255 CONCEICAO (100); RUA  CARAMURU 1255 CONCEICAO (100); RUA  CARAMURU 1255 CONCEICAO (100); RUA  CARAMURU 0 CONCEICAO (96)";100,0
30;RUA MANOEL DA NOBREGA 605 VL CONCEICAO;605,0;87427;RUA  MANOEL DA NOBREGA 0 CONCEICAO;0;96,88;0,0;87,19;"RUA  MANOEL DA NOBREGA 0 CONCEICAO (97); RUA  MANOEL DA NOBREGA 0 CONCEICAO (97); RUA  MANOEL DA NOBREGA 0 CONCEICAO (97); RUA  MANOEL DA NOBREGA 0 CONCEICAO (97); RUA  MANOEL DA NOBREGA 881 CONCEICAO (94)";87,19
31;AVENIDA ANTONIO PIRANGA 700 CENTRO;700,0;50282;AVENIDA  ANTONIO PIRANGA 700 CENTRO;700;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA 700 CENTRO (100); AVENIDA  ANTONIO PIRANGA 100 CENTRO (97); AVENIDA  ANTONIO PIRANGA 703 CENTRO (97); AVENIDA  ANTONIO PIRANGA 0 CENTRO (97); AVENIDA  ANTONIO PIRANGA 0 CENTRO (97)";100,0
32;RUA NELSON RODRIGUES 191 VL CONCEICAO;191,0;67716;RUA  NELSON RODRIGUES 191 CONCEICAO;191;100,0;100,0;100,0;"RUA  NELSON RODRIGUES 191 CONCEICAO (100); RUA  NELSON RODRIGUES 0 CONCEICAO (97); RUA  NELSON RODRIGUES 91 CONCEICAO (95); RUA  NELSON RODRIGUES 97 CONCEICAO (95); RUA  NELSON RODRIGUES 79 CONCEICAO (95)";100,0
33;RUA SANTO AMARO 92 CENTRO;92,0;112213;RUA SANTO AMARO 92 CENTRO;92;100,0;100,0;100,0;"RUA SANTO AMARO 92 CENTRO (100); RUA SANTO AMARO 93 CENTRO (96); RUA SANTO AMARO 93 CENTRO (96); RUA SANTO AMARO 93 CENTRO (96); RUA SANTO AMARO 93 CENTRO (96)";100,0
34;RUA COIMBRA 760 CENTRO;760,0;102803;RUA  COIMBRA 70 CENTRO;70;97,67;0,0;87,91;"RUA  COIMBRA 70 CENTRO (98); RUA  COIMBRA 76 CENTRO (98); RUA  COIMBRA 660 CENTRO (95); RUA  COIMBRA 605 CENTRO (95); RUA  COIMBRA 709 CENTRO (95)";87,91
35;RUA BOROROS 80 CONCEICAO;80,0;51832;RUA  BOROROS 480 CONCEICAO;480;97,96;0,0;88,16;"RUA  BOROROS 480 CONCEICAO (98); RUA  BOROROS 480 CONCEICAO (98); RUA  BOROROS 480 CONCEICAO (98); RUA  BOROROS 480 CONCEICAO (98); RUA  BOROROS 480 CONCEICAO (98)";88,16
36;AVENIDA ANTONIO PIRANGA 556 CENTRO;556,0;61402;AVENIDA  ANTONIO PIRANGA 556 CENTRO;556;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA 556 CENTRO (100); AVENIDA  ANTONIO PIRANGA 55 CENTRO (99); AVENIDA  ANTONIO PIRANGA 596 CENTRO (97); AVENIDA  ANTONIO PIRANGA 456 CENTRO (97); AVENIDA  ANTONIO PIRANGA 516 CENTRO (97)";100,0
37;RUA JAVARI 635 JARDIM PAINEIRAS;635,0;21410;RUA  JAVARI 635 TABOAO;635;80,0;100,0;82,0;"RUA  JAVARI 635 TABOAO (80); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69)";82,0
38;RUA SAO JORGE 98 CENTRO;98,0;28001;RUA SAO JORGE 98 CENTRO;98;100,0;100,0;100,0;"RUA SAO JORGE 98 CENTRO (100); RUA SAO JORGE 298 CENTRO (98); RUA SAO JORGE 39 CENTRO (96); RUA SAO JORGE 29 CENTRO (96); RUA SAO JORGE 89 CENTRO (96)";100,0
39;ANTONIO PIRANGA 556 CENTRO;556,0;61402;AVENIDA  ANTONIO PIRANGA 556 CENTRO;556;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA 556 CENTRO (100); AVENIDA  ANTONIO PIRANGA 125 CENTRO (92); AVENIDA  ANTONIO PIRANGA 173 CENTRO (92); AVENIDA  ANTONIO PIRANGA 163 CENTRO (92); AVENIDA  ANTONIO PIRANGA 141 CENTRO (92)";100,0
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO;332,0;938;AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO;332;100,0;100,0;100,0;"AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO (100)";100,0
