idx_df1;endereco_df1;idx_df2;endereco_df2;similaridade;sugestoes_top5
0;AV ANTONIO PIRANGA 614 CENTRO;551;AVENIDA nan ANTONIO PIRANGA 125 CENTRO;93,75;
1;AVENIDA ANTONIO PIRANGA 700 CENTRO;50282;AVENIDA nan ANTONIO PIRANGA 700 CENTRO;100,0;
2;AV ANTONIO PIRANGA 614 CENTRO;551;AVENIDA nan ANTONIO PIRANGA 125 CENTRO;93,75;
3;RUA DOS CARIRIS 195 PIRAPORINHA;3541;RUA nan DOS CARIRIS 195 PIRAPORINHA;100,0;
4;RUA MOACIAR GOULART CUNHA CALDAS 111 CENTRO;70850;RUA nan MOACYR GOULART CUNHA CALDAS 111 CONCEICAO;82,61;"RUA nan MOACYR GOULART CUNHA CALDAS 111 CONCEICAO (83); RUA nan MOACYR GOULART CUNHA CALDAS 118 CONCEICAO (80); RUA nan MOACYR GOULART CUNHA CALDAS 112 CONCEICAO (80); RUA nan MOACYR GOULART CUNHA CALDAS 101 CONCEICAO (80); RUA nan MOACYR GOULART CUNHA CALDAS 121 CONCEICAO (80)"
5;PRACA RUI BARBOSA 27 PIRAPORINHA;160130;PRACA nan RUI BARBOSA 27 PIRAPORINHA;100,0;
6;AV NOSSA SENHORA DOS NAVEGANTES 288 ELDORADO;43091;AVENIDA NOSSA SENHORA DOS NAVEGANTES 289 ELDORADO;97,96;
7;RUA CAPIBARIBE 193 JARDIM CAMPANARIO;115200;RUA nan CAPIBARIBE 193 CAMPANARIO;93,55;
8;AV PIRAPORINHA 1682 PIRAPORINHA;30100;AVENIDA nan PIRAPORINHA 1682 PIRAPORINHA;100,0;
9;RUA JOSE BONIFACIO 1641 SERRARIA;74232;RUA nan JOSE BONIFACIO 1641 SERRARIA;100,0;
10;RUA TIRADENTES 100 CENTRO;39595;RUA nan TIRADENTES 100 CENTRO;100,0;
11;RUA MEM DE SA 280 JARDIM CASA GRANDE;172305;RUA nan MEM DE SA 280 CASA GRANDE;93,55;
12;AVN SAO JOSE 472 CENTRO;89141;AVENIDA SAO JOSE 472 CENTRO;100,0;
13;RUA SERRA DE MARACUJA 49 PARQUE REID;69982;RUA nan SERRA DE MARACUJA 49 CENTRO;81,36;"RUA nan SERRA DE MARACUJA 49 CENTRO (81); RUA nan SERRA DE MARACUJA 70 CENTRO (75); RUA nan SERRA DE MARACUJA 76 CENTRO (75); RUA nan SERRA DE MARACUJA 64 CENTRO (75); RUA nan SERRA DE MARACUJA 54 CENTRO (75)"
14;RUA BARAO DE IGUAPE 98 VIL SAO JOSE;15269;RUA BARAO DE IGUAPE 98 PIRAPORINHA;78,57;"RUA BARAO DE IGUAPE 98 PIRAPORINHA (79); RUA BARAO DE IGUAPE 0 PIRAPORINHA (73); RUA BARAO DE IGUAPE 42 PIRAPORINHA (72); RUA BARAO DE IGUAPE 64 PIRAPORINHA (72); RUA BARAO DE IGUAPE 63 PIRAPORINHA (72)"
15;RUA SEBASTIAO FERNANDES TOURINHO 285 VIL NOGUEIRA;27959;RUA nan SEBASTIAO FERNANDES TOURINHO 285 VILA NOGUEIRA;95,74;
16;RUA DAS AMEIXEIRAS 679 JD ABC;165970;RUA nan DAS AMEIXEIRAS 979 TABOAO;75,76;"RUA nan DAS AMEIXEIRAS 979 TABOAO (76); RUA nan DAS AMEIXEIRAS 967 TABOAO (76); RUA nan DAS AMEIXEIRAS 1169 TABOAO (75); RUA nan DAS AMEIXEIRAS 941 TABOAO (73); RUA nan DAS AMEIXEIRAS 955 TABOAO (73)"
