idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN
0;AV ANTONIO PIRANGA CENTRO;614,0;151918;RUA  WASHINGTON LUIZ CENTRO;614;100,0;100,0;100,0;"RUA  WASHINGTON LUIZ CENTRO 614 | Score Final: 100; RUA  WASHINGTON LUIZ CENTRO 614 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 615 | Score Final: 100; AVENIDA SAO JOSE CENTRO 613 | Score Final: 100; RUA  WASHINGTON LUIZ CENTRO 613 | Score Final: 100; RUA  COIMBRA CENTRO 616 | Score Final: 100; RUA  COIMBRA CENTRO 616 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 612 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA  ORENSE CENTRO 612 | Score Final: 100; AVENIDA  ASSEMBLEIA CENTRO 617 | Score Final: 100; RUA  ORENSE CENTRO 617 | Score Final: 100; RUA  JOAO DE ALMEIDA CENTRO 611 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 611 | Score Final: 100; RUA  ORENSE CENTRO 611 | Score Final: 100"
1;AVENIDA ANTONIO PIRANGA CENTRO;700,0;50282;AVENIDA  ANTONIO PIRANGA CENTRO;700;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA CENTRO 700 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 700 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 700 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 700 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 700 | Score Final: 100; AVENIDA  ALDA CENTRO 700 | Score Final: 100; AVENIDA  ALDA CENTRO 700 | Score Final: 100; AVENIDA  ALDA CENTRO 700 | Score Final: 100; RUA  COIMBRA CENTRO 699 | Score Final: 100; RUA  COIMBRA CENTRO 699 | Score Final: 100; AVENIDA SENADOR VITORINO FREIRE CENTRO 699 | Score Final: 100; AVENIDA SENADOR VITORINO FREIRE CENTRO 699 | Score Final: 100; AVENIDA SENADOR VITORINO FREIRE CENTRO 699 | Score Final: 100; AVENIDA SENADOR VITORINO FREIRE CENTRO 699 | Score Final: 100; RUA  MANOEL DA NOBREGA CENTRO 699 | Score Final: 100; RUA  MANOEL DA NOBREGA CENTRO 699 | Score Final: 100; RUA  MANOEL DA NOBREGA CENTRO 699 | Score Final: 100; RUA  MANOEL DA NOBREGA CENTRO 699 | Score Final: 100; RUA  MANOEL DA NOBREGA CENTRO 699 | Score Final: 100; RUA  MANOEL DA NOBREGA CENTRO 699 | Score Final: 100"
2;AV ANTONIO PIRANGA CENTRO;614,0;151918;RUA  WASHINGTON LUIZ CENTRO;614;100,0;100,0;100,0;"RUA  WASHINGTON LUIZ CENTRO 614 | Score Final: 100; RUA  WASHINGTON LUIZ CENTRO 614 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 615 | Score Final: 100; AVENIDA SAO JOSE CENTRO 613 | Score Final: 100; RUA  WASHINGTON LUIZ CENTRO 613 | Score Final: 100; RUA  COIMBRA CENTRO 616 | Score Final: 100; RUA  COIMBRA CENTRO 616 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 612 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA MARECHAL JUAREZ TAVORA CENTRO 612 | Score Final: 100; RUA  ORENSE CENTRO 612 | Score Final: 100; AVENIDA  ASSEMBLEIA CENTRO 617 | Score Final: 100; RUA  ORENSE CENTRO 617 | Score Final: 100; RUA  JOAO DE ALMEIDA CENTRO 611 | Score Final: 100; RUA  SALGADO DE CASTRO CENTRO 611 | Score Final: 100; RUA  ORENSE CENTRO 611 | Score Final: 100"
3;RUA DOS CARIRIS PIRAPORINHA;195,0;3541;RUA  DOS CARIRIS PIRAPORINHA;195;100,0;100,0;100,0;"RUA  DOS CARIRIS PIRAPORINHA 195 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 195 | Score Final: 100; TRAVESSA  DOS PASSAROS PIRAPORINHA 195 | Score Final: 100; TRAVESSA  DOS PASSAROS PIRAPORINHA 195 | Score Final: 100; TRAVESSA  DOS PASSAROS PIRAPORINHA 195 | Score Final: 100; TRAVESSA  PEDRA DE CALCARIO PIRAPORINHA 195 | Score Final: 100; RUA ECOLOGISTA CHICO MENDES PIRAPORINHA 195 | Score Final: 100; RUA ECOLOGISTA CHICO MENDES PIRAPORINHA 195 | Score Final: 100; RUA  DAS PALMAS PIRAPORINHA 195 | Score Final: 100; RUA  DAS PALMAS PIRAPORINHA 195 | Score Final: 100; RUA DONA MARIA FIDELIS PIRAPORINHA 195 | Score Final: 100; RUA  JULIO CAMPOS RODRIGUES PIRAPORINHA 195 | Score Final: 100; RUA  JULIO CAMPOS RODRIGUES PIRAPORINHA 195 | Score Final: 100; RUA  RAIO DE SOL PIRAPORINHA 195 | Score Final: 100; RUA  RAIO DE SOL PIRAPORINHA 195 | Score Final: 100; RUA  RAIO DE SOL PIRAPORINHA 195 | Score Final: 100; RUA  RAIO DE SOL PIRAPORINHA 195 | Score Final: 100; RUA  RAIO DE SOL PIRAPORINHA 195 | Score Final: 100; RUA  MARIA HELENA PIRAPORINHA 195 | Score Final: 100; RUA  MARIA HELENA PIRAPORINHA 195 | Score Final: 100"
4;RUA MOACIAR GOULART CUNHA CALDAS CENTRO;111,0;4771;RUA  AGUA MARINHA CENTRO;111;100,0;100,0;100,0;"RUA  AGUA MARINHA CENTRO 111 | Score Final: 100; RUA  SERRA DE MACAE CENTRO 111 | Score Final: 100; RUA SAO PAULO CENTRO 111 | Score Final: 100; AVENIDA SAO JOSE CENTRO 111 | Score Final: 100; RUA  ANTONIO DOLL DE MORAES CENTRO 111 | Score Final: 100; RUA VISCONDE DE OURO PRETO CENTRO 111 | Score Final: 100; RUA  JOAQUIM NABUCO CENTRO 111 | Score Final: 100; RUA SAO FRANCISCO DE SALLES CENTRO 111 | Score Final: 100; RUA  SEBASTIAO FERREIRA LEITE CENTRO 111 | Score Final: 100; RUA  SERRA DE MARACUJA CENTRO 111 | Score Final: 100; RUA  BENJAMIN CONSTANT CENTRO 111 | Score Final: 100; RUA  DA CONSTITUICAO CENTRO 111 | Score Final: 100; RUA  ANTONIO MARINO CENTRO 111 | Score Final: 100; RUA  ANTONIO MARINO CENTRO 111 | Score Final: 100; RUA  ANTONIO MARINO CENTRO 111 | Score Final: 100; RUA  ANTONIO MARINO CENTRO 111 | Score Final: 100; RUA  ANTONIO MARINO CENTRO 111 | Score Final: 100; RUA  ANTONIO MARINO CENTRO 111 | Score Final: 100; AVENIDA VEREADOR JUAREZ RIOS DE VASCONCELOS CENTRO 111 | Score Final: 100; RUA  CHILE CENTRO 111 | Score Final: 100"
5;PRACA RUI BARBOSA PIRAPORINHA;27,0;13059;PASSAGEM  COMPANHEIRO SAO LUIS PIRAPORINHA;27;100,0;100,0;100,0;"PASSAGEM  COMPANHEIRO SAO LUIS PIRAPORINHA 27 | Score Final: 100; TRAVESSA  ETCD PIRAPORINHA 27 | Score Final: 100; TRAVESSA  ETCD PIRAPORINHA 27 | Score Final: 100; RUA  RAUL POMPEIA PIRAPORINHA 27 | Score Final: 100; RUA  RAUL POMPEIA PIRAPORINHA 27 | Score Final: 100; RUA  RAUL POMPEIA PIRAPORINHA 27 | Score Final: 100; RUA  RAUL POMPEIA PIRAPORINHA 27 | Score Final: 100; PASSAGEM  BELEM DE MARIA PIRAPORINHA 27 | Score Final: 100; TRAVESSA  ESTRELA DA MANHA PIRAPORINHA 27 | Score Final: 100; PASSAGEM  SIQUEIRA CAMPOS PIRAPORINHA 27 | Score Final: 100; PASSAGEM  SIQUEIRA CAMPOS PIRAPORINHA 27 | Score Final: 100; PASSAGEM  SIQUEIRA CAMPOS PIRAPORINHA 27 | Score Final: 100; PASSAGEM  SIQUEIRA CAMPOS PIRAPORINHA 27 | Score Final: 100; PASSAGEM  MARACAI PIRAPORINHA 27 | Score Final: 100; RUA  BREJAUVA PIRAPORINHA 27 | Score Final: 100; PASSAGEM  ITACARE PIRAPORINHA 27 | Score Final: 100; PASSAGEM  ITACARE PIRAPORINHA 27 | Score Final: 100; RUA  DOS TABAJARAS PIRAPORINHA 27 | Score Final: 100; TRAVESSA  AYRTON SENNA PIRAPORINHA 27 | Score Final: 100; TRAVESSA  AYRTON SENNA PIRAPORINHA 27 | Score Final: 100"
6;AV NOSSA SENHORA DOS NAVEGANTES ELDORADO;288,0;55926;RUA  ANTONIO VIEIRA ELDORADO;288;100,0;100,0;100,0;"RUA  ANTONIO VIEIRA ELDORADO 288 | Score Final: 100; RUA  ANTONIO VIEIRA ELDORADO 288 | Score Final: 100; RUA PRESIDENTE PRUDENTE ELDORADO 288 | Score Final: 100; RUA PRESIDENTE PRUDENTE ELDORADO 288 | Score Final: 100; RUA PRESIDENTE PRUDENTE ELDORADO 288 | Score Final: 100; RUA PRESIDENTE PRUDENTE ELDORADO 288 | Score Final: 100; RUA PRESIDENTE PRUDENTE ELDORADO 288 | Score Final: 100; RUA  JEQUITIBAS ELDORADO 288 | Score Final: 100; RUA  JEQUITIBAS ELDORADO 288 | Score Final: 100; RUA  JEQUITIBAS ELDORADO 288 | Score Final: 100; RUA  CILA PRENTAL DOS REIS ELDORADO 288 | Score Final: 100; RUA  BAIACU ELDORADO 288 | Score Final: 100; RUA  BAIACU ELDORADO 288 | Score Final: 100; RUA  BAIACU ELDORADO 288 | Score Final: 100; RUA  BAIACU ELDORADO 288 | Score Final: 100; RUA  ALVARES MACHADO ELDORADO 288 | Score Final: 100; RUA  ALVARES MACHADO ELDORADO 288 | Score Final: 100; RUA  ALVARES MACHADO ELDORADO 288 | Score Final: 100; RUA  BADEJO ELDORADO 288 | Score Final: 100; RUA  BADEJO ELDORADO 288 | Score Final: 100"
7;RUA CAPIBARIBE JARDIM CAMPANARIO;193,0;9386;RUA  CAMBARA CAMPANARIO;193;100,0;100,0;100,0;"RUA  CAMBARA CAMPANARIO 193 | Score Final: 100; RUA  MELRO CAMPANARIO 193 | Score Final: 100; RUA  MELRO CAMPANARIO 193 | Score Final: 100; RUA  MELRO CAMPANARIO 193 | Score Final: 100; RUA  EPICEA CAMPANARIO 193 | Score Final: 100; RUA  EPICEA CAMPANARIO 193 | Score Final: 100; RUA  EPICEA CAMPANARIO 193 | Score Final: 100; RUA  LAUDELINA DA COSTA POTT CAMPANARIO 193 | Score Final: 100; AVENIDA  LUIS CARLOS PRESTES CAMPANARIO 193 | Score Final: 100; RUA  MARINA CAMPANARIO 193 | Score Final: 100; RUA  CAPIBARIBE CAMPANARIO 193 | Score Final: 100; RUA  PINTASSILGO CAMPANARIO 193 | Score Final: 100; RUA  MACAHUBA CAMPANARIO 193 | Score Final: 100; RUA  OLMEIRO CAMPANARIO 193 | Score Final: 100; RUA  OLMEIRO CAMPANARIO 193 | Score Final: 100; RUA  GRALHA CAMPANARIO 193 | Score Final: 100; RUA  GRALHA CAMPANARIO 193 | Score Final: 100; RUA  GRALHA CAMPANARIO 193 | Score Final: 100; RUA  GRALHA CAMPANARIO 193 | Score Final: 100; RUA  GRALHA CAMPANARIO 193 | Score Final: 100"
8;AV PIRAPORINHA PIRAPORINHA;1682,0;30100;AVENIDA  PIRAPORINHA PIRAPORINHA;1682;100,0;100,0;100,0;"AVENIDA  PIRAPORINHA PIRAPORINHA 1682 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1683 | Score Final: 100; AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA 1680 | Score Final: 100; AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA 1685 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1687 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1677 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1673 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 100"
9;RUA JOSE BONIFACIO SERRARIA;1641,0;16185;RUA  ALVARES CABRAL SERRARIA;1641;100,0;100,0;100,0;"RUA  ALVARES CABRAL SERRARIA 1641 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1641 | Score Final: 100; AVENIDA DONA RUYCE FERRAZ ALVIM SERRARIA 1641 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; AVENIDA DONA RUYCE FERRAZ ALVIM SERRARIA 1646 | Score Final: 100; AVENIDA DONA RUYCE FERRAZ ALVIM SERRARIA 1646 | Score Final: 100; AVENIDA DONA RUYCE FERRAZ ALVIM SERRARIA 1646 | Score Final: 100; AVENIDA DONA RUYCE FERRAZ ALVIM SERRARIA 1646 | Score Final: 100; AVENIDA DONA RUYCE FERRAZ ALVIM SERRARIA 1646 | Score Final: 100; AVENIDA DONA RUYCE FERRAZ ALVIM SERRARIA 1646 | Score Final: 100; AVENIDA DONA RUYCE FERRAZ ALVIM SERRARIA 1646 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1636 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Score Final: 100"
