idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN;similaridade
10;RUA TIRADENTES CENTRO;100,0;7580;RUA  TIRADENTES CENTRO;432;100,0;0,0;90,0;"RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100); RUA  TIRADENTES CENTRO (100)";90,0
11;RUA MEM DE SA JARDIM CASA GRANDE;280,0;35061;RUA  MEM DE SA CASA GRANDE;292;100,0;76,0;97,6;"RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100); RUA  MEM DE SA CASA GRANDE (100)";97,6
12;AVN SAO JOSE CENTRO;472,0;2;AVENIDA SAO JOSE CENTRO;132;100,0;0,0;90,0;"AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100); AVENIDA SAO JOSE CENTRO (100)";90,0
13;RUA SERRA DE MARACUJA PARQUE REID;49,0;69982;RUA  SERRA DE MARACUJA CENTRO;49;85,71;100,0;87,14;"RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  SERRA DE MARACUJA CENTRO (86); RUA  MARIA RITA PEREIRA SERRARIA (66)";87,14
14;RUA BARAO DE IGUAPE VIL SAO JOSE;98,0;2563;RUA BARAO DE IGUAPE PIRAPORINHA;284;76,0;0,0;68,4;"RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76)";68,4
15;RUA SEBASTIAO FERNANDES TOURINHO VIL NOGUEIRA;285,0;2635;RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA;569;98,9;0,0;89,01;"RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99)";89,01
16;RUA DAS AMEIXEIRAS JD ABC;679,0;163750;RUA  DAS AMEIXEIRAS TABOAO;1059;83,72;0,0;75,35;"RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84)";75,35
17;RUA 22 DE ABRIL JD CANHEMA;113,0;43785;RUA  SETE DE ABRIL CANHEMA;120;88,89;86,0;88,6;"RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89)";88,6
18;RUA JOSE VICENTE JD INAMAR;122,0;64177;RUA  JOSE VICENTE INAMAR;153;100,0;38,0;93,8;"RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100)";93,8
19;RUA JAVARI JD PAINEIRAS;635,0;21410;RUA  JAVARI TABOAO;635;74,07;100,0;76,67;"RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74)";76,67
