idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_top5;similaridade
14;RUA BARAO DE IGUAPE VIL SAO JOSE;98,0;2563;RUA BARAO DE IGUAPE PIRAPORINHA;284;76,0;0,0;68,4;"RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76); RUA BARAO DE IGUAPE PIRAPORINHA (76)";68,4
15;RUA SEBASTIAO FERNANDES TOURINHO VIL NOGUEIRA;285,0;2635;RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA;569;98,9;0,0;89,01;"RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99); RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99)";89,01
16;RUA DAS AMEIXEIRAS JD ABC;679,0;163750;RUA  DAS AMEIXEIRAS TABOAO;1059;83,72;0,0;75,35;"RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84); RUA  DAS AMEIXEIRAS TABOAO (84)";75,35
17;RUA 22 DE ABRIL JD CANHEMA;113,0;43618;RUA  SETE DE ABRIL CANHEMA;100;88,89;74,0;87,4;"RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89); RUA  SETE DE ABRIL CANHEMA (89)";87,4
18;RUA JOSE VICENTE JD INAMAR;122,0;63868;RUA  JOSE VICENTE INAMAR;173;100,0;0,0;90,0;"RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100); RUA  JOSE VICENTE INAMAR (100)";90,0
19;RUA JAVARI JD PAINEIRAS;635,0;21410;RUA  JAVARI TABOAO;635;74,07;100,0;76,67;"RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74)";76,67
20;AV ELDORADO JARDIM RUYCE;817,0;4915;AVENIDA  ELDORADO JARDIM RUYCE;729;100,0;0,0;90,0;"AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100)";90,0
21;RUA ODETE AMARAL DE OLIVEIRA PRQ REAL;129,0;86214;RUA  ODETE AMARAL DE OLIVEIRA SERRARIA;195;86,49;0,0;77,84;"RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86)";77,84
22;RUA PRUDENTE DE MORAIS JARDIM CASA GRANDE;300,0;70572;RUA  PRUDENTE DE MORAIS CASA GRANDE;713;100,0;0,0;90,0;"RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100)";90,0
23;AV LICO MAIA SERRARIA;803,0;2941;AVENIDA  LICO MAIA SERRARIA;5538;100,0;0,0;90,0;"AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100)";90,0
24;AVN PRESIDENTE JUSCELINO PIRAPORINHA;759,0;21;AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA;330;100,0;0,0;90,0;"AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100)";90,0
