idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN;similaridade
0;AV ANTONIO PIRANGA CENTRO;614,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;AVENIDA  ANTONIO PIRANGA CENTRO (100);90,0
1;AVENIDA ANTONIO PIRANGA CENTRO;700,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;AVENIDA  ANTONIO PIRANGA CENTRO (100);90,0
2;AV ANTONIO PIRANGA CENTRO;614,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;AVENIDA  ANTONIO PIRANGA CENTRO (100);90,0
3;RUA DOS CARIRIS PIRAPORINHA;195,0;3541;RUA  DOS CARIRIS PIRAPORINHA;195;100,0;100,0;100,0;RUA  DOS CARIRIS PIRAPORINHA (100);100,0
4;RUA MOACIAR GOULART CUNHA CALDAS CENTRO;111,0;19162;RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO;251;85,0;0,0;76,5;RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (85);76,5
5;PRACA RUI BARBOSA PIRAPORINHA;27,0;160130;PRACA  RUI BARBOSA PIRAPORINHA;27;100,0;100,0;100,0;PRACA  RUI BARBOSA PIRAPORINHA (100);100,0
6;AV NOSSA SENHORA DOS NAVEGANTES ELDORADO;288,0;247;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;130;100,0;0,0;90,0;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100);90,0
7;RUA CAPIBARIBE JARDIM CAMPANARIO;193,0;112622;RUA  CAPIBARIBE CAMPANARIO;0;100,0;0,0;90,0;RUA  CAPIBARIBE CAMPANARIO (100);90,0
8;AV PIRAPORINHA PIRAPORINHA;1682,0;21;AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA;330;100,0;0,0;90,0;AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100);90,0
9;RUA JOSE BONIFACIO SERRARIA;1641,0;39070;RUA  JOSE BONIFACIO SERRARIA;1346;100,0;0,0;90,0;RUA  JOSE BONIFACIO SERRARIA (100);90,0
10;RUA TIRADENTES CENTRO;100,0;7580;RUA  TIRADENTES CENTRO;432;100,0;0,0;90,0;RUA  TIRADENTES CENTRO (100);90,0
11;RUA MEM DE SA JARDIM CASA GRANDE;280,0;2586;RUA  MEM DE SA CASA GRANDE;51;100,0;0,0;90,0;RUA  MEM DE SA CASA GRANDE (100);90,0
12;AVN SAO JOSE CENTRO;472,0;2;AVENIDA SAO JOSE CENTRO;132;100,0;0,0;90,0;AVENIDA SAO JOSE CENTRO (100);90,0
13;RUA SERRA DE MARACUJA PARQUE REID;49,0;57967;RUA  SERRA DE MARACUJA CENTRO;70;85,71;58,0;82,94;RUA  SERRA DE MARACUJA CENTRO (86);82,94
14;RUA BARAO DE IGUAPE VIL SAO JOSE;98,0;2563;RUA BARAO DE IGUAPE PIRAPORINHA;284;76,0;0,0;68,4;RUA BARAO DE IGUAPE PIRAPORINHA (76);68,4
15;RUA SEBASTIAO FERNANDES TOURINHO VIL NOGUEIRA;285,0;2635;RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA;569;98,9;0,0;89,01;RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA (99);89,01
16;RUA DAS AMEIXEIRAS JD ABC;679,0;163750;RUA  DAS AMEIXEIRAS TABOAO;1059;83,72;0,0;75,35;RUA  DAS AMEIXEIRAS TABOAO (84);75,35
17;RUA 22 DE ABRIL JD CANHEMA;113,0;43122;RUA  SETE DE ABRIL CANHEMA;64;88,89;2,0;80,2;RUA  SETE DE ABRIL CANHEMA (89);80,2
18;RUA JOSE VICENTE JD INAMAR;122,0;63868;RUA  JOSE VICENTE INAMAR;173;100,0;0,0;90,0;RUA  JOSE VICENTE INAMAR (100);90,0
19;RUA JAVARI JD PAINEIRAS;635,0;21335;RUA  JAVARI TABOAO;647;74,07;76,0;74,27;RUA  JAVARI TABOAO (74);74,27
20;AV ELDORADO JARDIM RUYCE;817,0;4915;AVENIDA  ELDORADO JARDIM RUYCE;729;100,0;0,0;90,0;AVENIDA  ELDORADO JARDIM RUYCE (100);90,0
21;RUA ODETE AMARAL DE OLIVEIRA PRQ REAL;129,0;86214;RUA  ODETE AMARAL DE OLIVEIRA SERRARIA;195;86,49;0,0;77,84;RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86);77,84
22;RUA PRUDENTE DE MORAIS JARDIM CASA GRANDE;300,0;70572;RUA  PRUDENTE DE MORAIS CASA GRANDE;713;100,0;0,0;90,0;RUA  PRUDENTE DE MORAIS CASA GRANDE (100);90,0
23;AV LICO MAIA SERRARIA;803,0;2941;AVENIDA  LICO MAIA SERRARIA;5538;100,0;0,0;90,0;AVENIDA  LICO MAIA SERRARIA (100);90,0
24;AVN PRESIDENTE JUSCELINO PIRAPORINHA;759,0;21;AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA;330;100,0;0,0;90,0;AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100);90,0
