idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN;similaridade
0;AV ANTONIO PIRANGA CENTRO;614,0;107930;AVENIDA  ANTONIO PIRANGA CENTRO;615;100,0;0,0;99,9;"AVENIDA  ANTONIO PIRANGA CENTRO 615 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Similaridade Texto: 100 | Similaridade Número: 83 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Similaridade Texto: 100 | Similaridade Número: 82 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Similaridade Texto: 100 | Similaridade Número: 81 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Similaridade Texto: 100 | Similaridade Número: 74 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Similaridade Texto: 100 | Similaridade Número: 73 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Similaridade Texto: 100 | Similaridade Número: 69 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Similaridade Texto: 100 | Similaridade Número: 64 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Similaridade Texto: 100 | Similaridade Número: 59 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 556 | Similaridade Texto: 100 | Similaridade Número: 42 | Score Final: 94; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Similaridade Texto: 100 | Similaridade Número: 26 | Score Final: 93; AVENIDA  ANTONIO PIRANGA CENTRO 700 | Similaridade Texto: 100 | Similaridade Número: 14 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 703 | Similaridade Texto: 100 | Similaridade Número: 11 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Similaridade Texto: 100 | Similaridade Número: 6 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Similaridade Texto: 100 | Similaridade Número: 6 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Similaridade Texto: 100 | Similaridade Número: 2 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 125 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 173 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 163 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 141 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90";99,9
1;AVENIDA ANTONIO PIRANGA CENTRO;700,0;50282;AVENIDA  ANTONIO PIRANGA CENTRO;700;100,0;0,0;100,0;"AVENIDA  ANTONIO PIRANGA CENTRO 700 | Similaridade Texto: 100 | Similaridade Número: 100 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 703 | Similaridade Texto: 100 | Similaridade Número: 97 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Similaridade Texto: 100 | Similaridade Número: 55 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Similaridade Texto: 100 | Similaridade Número: 41 | Score Final: 94; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Similaridade Texto: 100 | Similaridade Número: 31 | Score Final: 93; AVENIDA  ANTONIO PIRANGA CENTRO 615 | Similaridade Texto: 100 | Similaridade Número: 15 | Score Final: 92; AVENIDA  ANTONIO PIRANGA CENTRO 125 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 173 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 163 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 141 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 159 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 149 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 79 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 169 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 69 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 0 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 0 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 192 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 0 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 88 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90";100,0
2;AV ANTONIO PIRANGA CENTRO;614,0;107930;AVENIDA  ANTONIO PIRANGA CENTRO;615;100,0;0,0;99,9;"AVENIDA  ANTONIO PIRANGA CENTRO 615 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Similaridade Texto: 100 | Similaridade Número: 83 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Similaridade Texto: 100 | Similaridade Número: 82 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Similaridade Texto: 100 | Similaridade Número: 81 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Similaridade Texto: 100 | Similaridade Número: 74 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Similaridade Texto: 100 | Similaridade Número: 73 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Similaridade Texto: 100 | Similaridade Número: 69 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Similaridade Texto: 100 | Similaridade Número: 64 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Similaridade Texto: 100 | Similaridade Número: 59 | Score Final: 96; AVENIDA  ANTONIO PIRANGA CENTRO 556 | Similaridade Texto: 100 | Similaridade Número: 42 | Score Final: 94; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Similaridade Texto: 100 | Similaridade Número: 26 | Score Final: 93; AVENIDA  ANTONIO PIRANGA CENTRO 700 | Similaridade Texto: 100 | Similaridade Número: 14 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 703 | Similaridade Texto: 100 | Similaridade Número: 11 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Similaridade Texto: 100 | Similaridade Número: 6 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Similaridade Texto: 100 | Similaridade Número: 6 | Score Final: 91; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Similaridade Texto: 100 | Similaridade Número: 2 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 125 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 173 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 163 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90; AVENIDA  ANTONIO PIRANGA CENTRO 141 | Similaridade Texto: 100 | Similaridade Número: 0 | Score Final: 90";99,9
3;RUA DOS CARIRIS PIRAPORINHA;195,0;3541;RUA  DOS CARIRIS PIRAPORINHA;195;100,0;61,0;100,0;"RUA  DOS CARIRIS PIRAPORINHA 195 | Similaridade Texto: 100 | Similaridade Número: 100 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 195 | Similaridade Texto: 100 | Similaridade Número: 100 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 202 | Similaridade Texto: 100 | Similaridade Número: 93 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 206 | Similaridade Texto: 100 | Similaridade Número: 89 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 210 | Similaridade Texto: 100 | Similaridade Número: 85 | Score Final: 98; RUA  DOS CARIRIS PIRAPORINHA 214 | Similaridade Texto: 100 | Similaridade Número: 81 | Score Final: 98; RUA  DOS CARIRIS PIRAPORINHA 222 | Similaridade Texto: 100 | Similaridade Número: 73 | Score Final: 97; RUA  DOS CARIRIS PIRAPORINHA 226 | Similaridade Texto: 100 | Similaridade Número: 69 | Score Final: 97; RUA  DOS CARIRIS PIRAPORINHA 226 | Similaridade Texto: 100 | Similaridade Número: 69 | Score Final: 97; RUA  DOS CARIRIS PIRAPORINHA 230 | Similaridade Texto: 100 | Similaridade Número: 65 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 230 | Similaridade Texto: 100 | Similaridade Número: 65 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 230 | Similaridade Texto: 100 | Similaridade Número: 65 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 157 | Similaridade Texto: 100 | Similaridade Número: 62 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 156 | Similaridade Texto: 100 | Similaridade Número: 61 | Score Final: 96; RUA  DOS CARIRIS PIRAPORINHA 156 | Similaridade Texto: 100 | Similaridade Número: 61 | Score Final: 96";100,0
4;RUA MOACIAR GOULART CUNHA CALDAS CENTRO;111,0;70850;RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO;111;85,0;73,0;86,5;"RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 111 | Similaridade Texto: 85 | Similaridade Número: 100 | Score Final: 86; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 112 | Similaridade Texto: 85 | Similaridade Número: 99 | Score Final: 86; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 109 | Similaridade Texto: 85 | Similaridade Número: 98 | Score Final: 86; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 108 | Similaridade Texto: 85 | Similaridade Número: 97 | Score Final: 86; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 118 | Similaridade Texto: 85 | Similaridade Número: 93 | Score Final: 86; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 101 | Similaridade Texto: 85 | Similaridade Número: 90 | Score Final: 86; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 121 | Similaridade Texto: 85 | Similaridade Número: 90 | Score Final: 86; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 121 | Similaridade Texto: 85 | Similaridade Número: 90 | Score Final: 86; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 122 | Similaridade Texto: 85 | Similaridade Número: 89 | Score Final: 85; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 100 | Similaridade Texto: 85 | Similaridade Número: 89 | Score Final: 85; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 125 | Similaridade Texto: 85 | Similaridade Número: 86 | Score Final: 85; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 96 | Similaridade Texto: 85 | Similaridade Número: 85 | Score Final: 85; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 128 | Similaridade Texto: 85 | Similaridade Número: 83 | Score Final: 85; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 91 | Similaridade Texto: 85 | Similaridade Número: 80 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 132 | Similaridade Texto: 85 | Similaridade Número: 79 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 90 | Similaridade Texto: 85 | Similaridade Número: 79 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 133 | Similaridade Texto: 85 | Similaridade Número: 78 | Score Final: 84; RUA  JAU CENTRO 102 | Similaridade Texto: 83 | Similaridade Número: 91 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 86 | Similaridade Texto: 85 | Similaridade Número: 75 | Score Final: 84; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 138 | Similaridade Texto: 85 | Similaridade Número: 73 | Score Final: 84";86,5
5;PRACA RUI BARBOSA PIRAPORINHA;27,0;160130;PRACA  RUI BARBOSA PIRAPORINHA;27;76,92;79,0;100,0;"PRACA  RUI BARBOSA PIRAPORINHA 27 | Similaridade Texto: 100 | Similaridade Número: 100 | Score Final: 100; RUA  BARTIRA PIRAPORINHA 28 | Similaridade Texto: 77 | Similaridade Número: 99 | Score Final: 79; RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA 5 | Similaridade Texto: 79 | Similaridade Número: 78 | Score Final: 79; RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA 4 | Similaridade Texto: 79 | Similaridade Número: 77 | Score Final: 79; RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA 4 | Similaridade Texto: 79 | Similaridade Número: 77 | Score Final: 79; RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA 4 | Similaridade Texto: 79 | Similaridade Número: 77 | Score Final: 79; RUA  BARTIRA PIRAPORINHA 30 | Similaridade Texto: 77 | Similaridade Número: 97 | Score Final: 79; RUA  BARTIRA PIRAPORINHA 30 | Similaridade Texto: 77 | Similaridade Número: 97 | Score Final: 79; RUA  BARTIRA PIRAPORINHA 30 | Similaridade Texto: 77 | Similaridade Número: 97 | Score Final: 79; RUA  DAS PALMAS PIRAPORINHA 25 | Similaridade Texto: 76 | Similaridade Número: 98 | Score Final: 79; RUA  DAS PALMAS PIRAPORINHA 29 | Similaridade Texto: 76 | Similaridade Número: 98 | Score Final: 79; RUA  DAS PALMAS PIRAPORINHA 33 | Similaridade Texto: 76 | Similaridade Número: 94 | Score Final: 78; RUA  BARTIRA PIRAPORINHA 40 | Similaridade Texto: 77 | Similaridade Número: 87 | Score Final: 78; RUA  BARTIRA PIRAPORINHA 42 | Similaridade Texto: 77 | Similaridade Número: 85 | Score Final: 78; RUA  DAS PALMAS PIRAPORINHA 17 | Similaridade Texto: 76 | Similaridade Número: 90 | Score Final: 78; RUA  DAS PALMAS PIRAPORINHA 37 | Similaridade Texto: 76 | Similaridade Número: 90 | Score Final: 78; RUA  DAS PALMAS PIRAPORINHA 40 | Similaridade Texto: 76 | Similaridade Número: 87 | Score Final: 77; RUA  DAS PALMAS PIRAPORINHA 42 | Similaridade Texto: 76 | Similaridade Número: 85 | Score Final: 77; RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA 68 | Similaridade Texto: 79 | Similaridade Número: 59 | Score Final: 77; RUA  BARTIRA PIRAPORINHA 48 | Similaridade Texto: 77 | Similaridade Número: 79 | Score Final: 77";100,0
6;AV NOSSA SENHORA DOS NAVEGANTES ELDORADO;288,0;43091;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;289;100,0;57,0;99,9;"AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 289 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 289 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 299 | Similaridade Texto: 100 | Similaridade Número: 89 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Similaridade Texto: 100 | Similaridade Número: 81 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Similaridade Texto: 100 | Similaridade Número: 81 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Similaridade Texto: 100 | Similaridade Número: 81 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Similaridade Texto: 100 | Similaridade Número: 77 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Similaridade Texto: 100 | Similaridade Número: 77 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Similaridade Texto: 100 | Similaridade Número: 77 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Similaridade Texto: 100 | Similaridade Número: 77 | Score Final: 98; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 259 | Similaridade Texto: 100 | Similaridade Número: 71 | Score Final: 97; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 321 | Similaridade Texto: 100 | Similaridade Número: 67 | Score Final: 97; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 321 | Similaridade Texto: 100 | Similaridade Número: 67 | Score Final: 97; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Número: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Número: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Número: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Número: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Similaridade Texto: 100 | Similaridade Número: 59 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 245 | Similaridade Texto: 100 | Similaridade Número: 57 | Score Final: 96; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 245 | Similaridade Texto: 100 | Similaridade Número: 57 | Score Final: 96";99,9
7;RUA CAPIBARIBE JARDIM CAMPANARIO;193,0;115200;RUA  CAPIBARIBE CAMPANARIO;193;100,0;47,0;100,0;"RUA  CAPIBARIBE CAMPANARIO 193 | Similaridade Texto: 100 | Similaridade Número: 100 | Score Final: 100; RUA  CAPIBARIBE CAMPANARIO 200 | Similaridade Texto: 100 | Similaridade Número: 93 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 200 | Similaridade Texto: 100 | Similaridade Número: 93 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 182 | Similaridade Texto: 100 | Similaridade Número: 89 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 182 | Similaridade Texto: 100 | Similaridade Número: 89 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 179 | Similaridade Texto: 100 | Similaridade Número: 86 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 208 | Similaridade Texto: 100 | Similaridade Número: 85 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 170 | Similaridade Texto: 100 | Similaridade Número: 77 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 216 | Similaridade Texto: 100 | Similaridade Número: 77 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 161 | Similaridade Texto: 100 | Similaridade Número: 68 | Score Final: 97; RUA  CAPIBARIBE CAMPANARIO 154 | Similaridade Texto: 100 | Similaridade Número: 61 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 154 | Similaridade Texto: 100 | Similaridade Número: 61 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 154 | Similaridade Texto: 100 | Similaridade Número: 61 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 153 | Similaridade Texto: 100 | Similaridade Número: 60 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 153 | Similaridade Texto: 100 | Similaridade Número: 60 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 153 | Similaridade Texto: 100 | Similaridade Número: 60 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 149 | Similaridade Texto: 100 | Similaridade Número: 56 | Score Final: 96; RUA  CAPIBARIBE CAMPANARIO 146 | Similaridade Texto: 100 | Similaridade Número: 53 | Score Final: 95; RUA  CAPIBARIBE CAMPANARIO 146 | Similaridade Texto: 100 | Similaridade Número: 53 | Score Final: 95; RUA  CAPIBARIBE CAMPANARIO 140 | Similaridade Texto: 100 | Similaridade Número: 47 | Score Final: 95";100,0
8;AV PIRAPORINHA PIRAPORINHA;1682,0;30100;AVENIDA  PIRAPORINHA PIRAPORINHA;1682;100,0;87,0;100,0;"AVENIDA  PIRAPORINHA PIRAPORINHA 1682 | Similaridade Texto: 100 | Similaridade Número: 100 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1683 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA 1680 | Similaridade Texto: 100 | Similaridade Número: 98 | Score Final: 100; AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA 1685 | Similaridade Texto: 100 | Similaridade Número: 97 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1677 | Similaridade Texto: 100 | Similaridade Número: 95 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1687 | Similaridade Texto: 100 | Similaridade Número: 95 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1673 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Similaridade Texto: 100 | Similaridade Número: 87 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Similaridade Texto: 100 | Similaridade Número: 87 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Similaridade Texto: 100 | Similaridade Número: 87 | Score Final: 99";100,0
9;RUA JOSE BONIFACIO SERRARIA;1641,0;74232;RUA  JOSE BONIFACIO SERRARIA;1641;100,0;81,0;100,0;"RUA  JOSE BONIFACIO SERRARIA 1641 | Similaridade Texto: 100 | Similaridade Número: 100 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Similaridade Texto: 100 | Similaridade Número: 99 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1636 | Similaridade Texto: 100 | Similaridade Número: 95 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1650 | Similaridade Texto: 100 | Similaridade Número: 91 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1630 | Similaridade Texto: 100 | Similaridade Número: 89 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1630 | Similaridade Texto: 100 | Similaridade Número: 89 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1630 | Similaridade Texto: 100 | Similaridade Número: 89 | Score Final: 99; RUA  JOSE BONIFACIO SERRARIA 1656 | Similaridade Texto: 100 | Similaridade Número: 85 | Score Final: 98; RUA  JOSE BONIFACIO SERRARIA 1656 | Similaridade Texto: 100 | Similaridade Número: 85 | Score Final: 98; RUA  JOSE BONIFACIO SERRARIA 1656 | Similaridade Texto: 100 | Similaridade Número: 85 | Score Final: 98; RUA  JOSE BONIFACIO SERRARIA 1660 | Similaridade Texto: 100 | Similaridade Número: 81 | Score Final: 98";100,0
