"_id","_data_ingestion_id","_created_at","_updated_at","_geom","_geog","co_entidade","nu_ano_censo","sg_uf","co_municipio","no_municipio","no_distrito","co_distrito","no_entidade","tp_localizacao","tp_localizacao_diferenciada","ds_endereco","nu_endereco","ds_complemento","no_bairro","co_cep","fonte_geo","tipo_geo","latitude","longitude","cd_setor_2022"
"98400",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000009D088783294947C087269A513D9337C0","0101000020E61000009D088783294947C087269A513D9337C0","35199874","2024","SP","3550308","São Paulo","Água Rasa","355030801","GENTE DA GENTE COLEGIO","1","0","ORFANATO","1567","RUA","VILA PRUDENTE","3131010","Catálogo de Escolas - agosto/2024","0","-23.5751544","-46.5715794","355030801000021"
"98261",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000005227A089B04947C051DA1B7C619237C0","0101000020E61000005227A089B04947C051DA1B7C619237C0","35052723","2024","SP","3550308","São Paulo","Água Rasa","355030801","EMEI ALUISIO DE AZEVEDO","1","0","FAROL PAULISTANO","250",NULL,"VILA ORATORIO","3192060","Catálogo de Escolas - agosto/2024","0","-23.5718","-46.5757","355030801000023"
"98433",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000008CB96B09F94847C033C4B12E6E9337C0","0101000020E61000008CB96B09F94847C033C4B12E6E9337C0","35055062","2024","SP","3550308","São Paulo","Água Rasa","355030801","EMEF MAUA BR DE","1","0","MADRID","550",NULL,"PARQUE SEVILHA","3157010","Catálogo de Escolas - agosto/2024","0","-23.5759","-46.5701","355030801000044"
"98448",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000F0164850FC4847C04FAF9465889337C0","0101000020E6100000F0164850FC4847C04FAF9465889337C0","35094766","2024","SP","3550308","São Paulo","Água Rasa","355030801","EMEI JOSE ALOYSIO RODRIGUES CORREA PROF","1","0","MALAGA","391",NULL,"PARQUE SEVILHA","3157030","Catálogo de Escolas - agosto/2024","0","-23.5763","-46.5702","355030801000044"
"98487",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E610000012329067974947C05B3FFD67CD9337C0","0101000020E610000012329067974947C05B3FFD67CD9337C0","35496765","2024","SP","3550308","São Paulo","Água Rasa","355030801","ESC PART LETRA E ARTE","1","0","DO ORFANATO","1140",NULL,"VILA PRUDENTE","3131010","Google 2025","1","-23.577353","-46.574933","355030801000045"
"98324",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000EE5A423EE84947C0FBCBEEC9C39237C0","0101000020E6100000EE5A423EE84947C0FBCBEEC9C39237C0","35055050","2024","SP","3550308","São Paulo","Água Rasa","355030801","EMEF SILVIO FLEMING MJ","1","0","PAULO DE LIMA CORREA","65",NULL,"VILA LIBANESA","3193060","Catálogo de Escolas - agosto/2024","0","-23.5733","-46.5774","355030801000047"
"98310",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E610000082A8A047314A47C0C4584BA6AF9237C0","0101000020E610000082A8A047314A47C0C4584BA6AF9237C0","35001910","2024","SP","3550308","São Paulo","Água Rasa","355030801","CLEMENTE QUAGLIO PROFESSOR","1","0","MANUEL ONHA","234","RUA","VILA ORATORIO","3192100","Catálogo de Escolas - agosto/2024","0","-23.5729927","-46.5796289","355030801000049"
"98307",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000000B462575024A47C0DFE00B93A99237C0","0101000020E61000000B462575024A47C0DFE00B93A99237C0","35182312","2024","SP","3550308","São Paulo","Água Rasa","355030801","CR P CONV CHIQUINHA IRMA","1","0","PROFESSOR RAUL BRIQUET","220",NULL,"VILA LIBANESA","3193040","Catálogo de Escolas - agosto/2024","0","-23.5729","-46.5782","355030801000049"
"98328",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000000A9DD7D8254A47C0978BF84ECC9237C0","0101000020E61000000A9DD7D8254A47C0978BF84ECC9237C0","35199801","2024","SP","3550308","São Paulo","Água Rasa","355030801","ESC PART ESCOLA DE EDUCACAO PLANETA INFANTIL","1","0","PROFESSOR RAUL BRIQUET","139",NULL,"VILA LIBANESA","3193040","Catálogo de Escolas - agosto/2024","0","-23.57343","-46.57928","355030801000049"
"98266",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000007DEC2E50524A47C0271C30FE6C9237C0","0101000020E61000007DEC2E50524A47C0271C30FE6C9237C0","35164525","2024","SP","3550308","São Paulo","Água Rasa","355030801","EVOLUCAO INSTITUTO DE ENSINO UNIDADE II","1","0","MANUEL ONHA","113","RUA","VILA ORATORIO","3192100","Catálogo de Escolas - agosto/2024","0","-23.5719756","-46.580637","355030801000050"
"98186",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000EE201BED5D4A47C03D49BA66F29137C0","0101000020E6100000EE201BED5D4A47C03D49BA66F29137C0","35101722","2024","SP","3550308","São Paulo","Água Rasa","355030801","NOSSA SENHORA MENINA EXTERNATO","1","0","ORATORIO","2621","RUA","ALTO DA MOOCA","3195100","Catálogo de Escolas - agosto/2024","0","-23.570105","-46.5809914","355030801000051"
"98040",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000001904560E2D4A47C01B2FDD24069137C0","0101000020E61000001904560E2D4A47C01B2FDD24069137C0","35565234","2024","SP","3550308","São Paulo","Água Rasa","355030801","CR P CONV MARINHO DE ASSIS TOLEDO","1","0","OURINHOS","306",NULL,"VILA BERTIOGA","3186040","Catálogo de Escolas - agosto/2024","0","-23.5665","-46.5795","355030801000053"
"98302",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000884B8E3BA54747C0FB743C66A09237C0","0101000020E6100000884B8E3BA54747C0FB743C66A09237C0","35243693","2024","SP","3550308","São Paulo","Água Rasa","355030801","ESC PART CASTELINHO LIRIO DO VALE","1","0","PAULINA","56",NULL,"CHACARA MAFALDA","3370040","Catálogo de Escolas - agosto/2024","0","-23.57276","-46.55973","355030801000068"
"98274",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000009CE2CC0AA04747C04BB3D4D5789237C0","0101000020E61000009CE2CC0AA04747C04BB3D4D5789237C0","35001491","2024","SP","3550308","São Paulo","Água Rasa","355030801","ANNA TEIXEIRA PRADO ZACHARIAS PROFESSORA","1","0","PAULINA","149","RUA","CHACARA MAFALDA","3370040","Catálogo de Escolas - agosto/2024","0","-23.5721563","-46.5595716","355030801000068"
"97794",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E610000088B9A46ABB4947C0828E56B5A48F37C0","0101000020E610000088B9A46ABB4947C0828E56B5A48F37C0","35010363","2024","SP","3550308","São Paulo","Água Rasa","355030801","COLEGIO FREI GALVAO","1","0","PIRAJA","223",NULL,"MOOCA","3190170","Google 2025","1","-23.561107","-46.576032","355030801000057"
"97899",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E610000095641D8EAE4A47C0FDDD3B6A4C9037C0","0101000020E610000095641D8EAE4A47C0FDDD3B6A4C9037C0","35009915","2024","SP","3550308","São Paulo","Água Rasa","355030801","ESC PART FADELITO MOOCA EDUCACAO INFANTIL","1","0","RUA TERESINA","464",NULL,"VILA BERTIOGA","3185010","Google 2025","1","-23.563666","-46.583452","355030801000079"
"98075",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000009949D40B3E4747C05E9CF86A479137C0","0101000020E61000009949D40B3E4747C05E9CF86A479137C0","35182321","2024","SP","3550308","São Paulo","Água Rasa","355030801","CR P CONV MARIA APARECIDA SICA MAE DOCA - UN I","1","0","NOSSA SENHORA DOS ANJOS","717",NULL,"CHACARA MAFALDA","3370055","CEM 2022","0","-23.567496","-46.556581","355030801000086"
"98301",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000459DB987844747C04BF619619B9237C0","0101000020E6100000459DB987844747C04BF619619B9237C0","35154179","2024","SP","3550308","São Paulo","Água Rasa","355030801","COLEGIO FRAMTID SISTEMA DE ENSINO OBJETIVO","1","0","NOSSA SENHORA DOS ANJOS","88","RUA","CHACARA MAFALDA","3370055","Catálogo de Escolas - agosto/2024","0","-23.5726834","-46.558732","355030801000090"
"98346",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E610000048050429674747C0DBBE47FDF59237C0","0101000020E610000048050429674747C0DBBE47FDF59237C0","35001430","2024","SP","3550308","São Paulo","Água Rasa","355030801","ANDRE OHL","1","0","SAPOPEMBA","3244","AVENIDA","VILA REGENTE FEIJO","3345000","Catálogo de Escolas - agosto/2024","0","-23.574066","-46.5578357","355030801000090"
"98476",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000F948EFC0A54747C0617AB1E6B69337C0","0101000020E6100000F948EFC0A54747C0617AB1E6B69337C0","35101667","2024","SP","3550308","São Paulo","São Lucas","355030872","PARQUE SEVILHA COLEGIO","1","0","SILVIO DE SOUSA","259","RUA","VILA SANTA CLARA","3273500","Catálogo de Escolas - agosto/2024","0","-23.5770096","-46.5597459","355030801000092"
"98530",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000000E4FAF94654847C0F931E6AE259437C0","0101000020E61000000E4FAF94654847C0F931E6AE259437C0","35181304","2024","SP","3550308","São Paulo","Água Rasa","355030801","CR P CONV FRATERNIDADE IRMA AMELIA","1","0","NHENGAIBAS","356",NULL,"VILA GRACIOSA","3160040","Catálogo de Escolas - agosto/2024","0","-23.5787","-46.5656","355030801000095"
"97917",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E6100000E6FB6F46494B47C0A1F63A2D689037C0","0101000020E6100000E6FB6F46494B47C0A1F63A2D689037C0","35051822","2024","SP","3550308","São Paulo","Ipiranga","355030834","EMEI DELFINO AZEVEDO","1","0","PRIMEIRO DE OUTUBRO","30",NULL,"VILA MONUMENTO","4261140","Catálogo de Escolas - agosto/2024","0","-23.56408961","-46.58817368","355030801000107"
"98012",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000007C6473D53C4B47C081053065E09037C0","0101000020E61000007C6473D53C4B47C081053065E09037C0","35005394","2024","SP","3550308","São Paulo","Água Rasa","355030801","ESC PART ESCOLA ALECRIM MOOCA","1","0","RUI MARTINS","63",NULL,"ALTO DA MOOCA","3184010","CEM 2022","0","-23.565924","-46.587794","355030801000107"
"97915",8,"2025-08-26 09:59:31.289374-03","2025-08-26 09:59:31.289374-03","0101000020E61000003046240A2D4B47C09752978C639037C0","0101000020E61000003046240A2D4B47C09752978C639037C0","35005742","2024","SP","3550308","São Paulo","Mooca","355030853","ESC PART CASA BELA E E I","1","0","DELGADO AROUCHE","3",NULL,"ALTO DA MOOCA","3183090","Google 2025","2","-23.564019","-46.587312","355030801000108"
