"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
3438,"INTERATIVA","100.0",NULL,"VILA BRASILANDIA",799289,"204083556","RUA  INTERATIVA","99.0",NULL,"JARAGUA","100.0","99.0","26.09","89.8","-23.44632682","-46.70947157","355030842000716","-23.447099","-46.710044","355030842000673","-23.446979499999998","-46.710044","13.28781203","103.8385817","1","76.31642607",False,True
3439,"VALE DO LUAR",NULL,NULL,"VILA BRASILANDIA",564634,"59160985","RUA  SERRA DO LUAR","10.0",NULL,"ITAIM PAULISTA","100.0",NULL,"40.0","100.0","-23.44644184","-46.70887979","355030842000716","-23.50805","-46.379278","355030836000054","-23.508060999999998","-46.379290499999996","1.76653273","34307.05507597","1","34259.1217543",False,False
3440,"THEOFILO AZAMBUJA","137.0",NULL,"JARAGUA",192210,"60295320","RUA  THEOFILO AZAMBUJA","137.0",NULL,"JARAGUA","100.0","100.0","100.0","90.0","-23.456197","-46.743796","355030842000736","-23.456208","-46.743725","355030842000736","-23.456208","-46.743725","0","7.34501626","1","0",True,NULL
3441,"JERIMANDUBA","561.0",NULL,"JARAGUA",810724,"205716603","AVENIDA  JERIMANDUBA","1184.0",NULL,"JARAGUA","100.0","47.38","100.0","79.48","-23.4553103","-46.7461995","355030842000737","-23.456696","-46.7512","355030842000383","-23.456696","-46.7512","0","532.84819019","1","268.96111687",False,False
3442,"MACHADO CORREIA","86.0",NULL,"VILA AURORA",31979,"211682511","RUA  INOCENCIO CORREIA","111.0",NULL,"VILA MATILDE","96.85","77.48","53.33","83.29","-23.4357","-46.7521","355030842000746","-23.533579","-46.506362","355030891000066","-23.533579","-46.506362","0","27322.7060198","1","27183.46636707",False,False
3443,"JOAO AIRES",NULL,NULL,"JARDIM BANDEIRANTES ZONA NO",532629,"220835650","RUA  JOAO AIRES","149.0",NULL,"JARAGUA","100.0",NULL,"23.53","100.0","-23.456","-46.7376","355030842000761","-23.456038","-46.737261","355030842000761","-23.455947000000002","-46.7373165","11.59483556","34.83742679","1","0",True,NULL
3444,"DOUTOR RAFAEL DE ARAUJO RIBEIRO","1185.0",NULL,"JARAGUA",46161,"107855088","RUA DOUTOR RAFAEL DE ARAUJO RIBEIRO","576.0",NULL,"JARAGUA","100.0","48.61","100.0","79.72","-23.450575","-46.742721","355030842000764","-23.453506","-46.744069","355030842000737","-23.453506","-46.744069","0","353.7341732","1","313.22152982",False,False
3445,"MAURO DE ARAUJO RIBEIRO","678.0",NULL,"CIDADE D ABRIL",1711464,"60247780","RUA  MAURO DE ARAUJO RIBEIRO","660.0",NULL,"JARAGUA","100.0","97.35","28.57","89.47","-23.44961557","-46.7441018","355030842000764","-23.448171","-46.744044","355030842000764","-23.448171","-46.744044","0","160.7372592","1","0",True,NULL
3446,"SOL DA LIBERDADE","12.0",NULL,"JARDIM ALVINA",2394944,"204566633","RUA  SOL DA LIBERDADE","8.0",NULL,"JARAGUA","100.0","66.67","30.0","83.33","-23.435983","-46.725325","355030842000766","-23.435393","-46.725086","355030842000766","-23.435393","-46.725086","0","69.98982214","1","0",True,NULL
3447,"FRIEDRICH VON VOITH","1790.0",NULL,"JARDIM SAO JOAO JARAGUA",2466251,"107326374","RUA  FRIEDRICH VON VOITH","1972.0",NULL,"JARDIM SAO JOAO","100.0","90.77","100.0","88.15","-23.4363629","-46.7395743","355030842000771","-23.436416","-46.742004","355030842000661","-23.436416","-46.742004","0","247.95251062","1","171.92916517",False,False
3448,"JOAO AMADO COUTINHO","1010.0",NULL,"CONJUNTO RESIDENCIAL ELISIO",2076295,"102382127","RUA  JOAO AMADO COUTINHO","1033.0",NULL,"CONJUNTO RESIDENCIAL ELISIO TEIXEIRA LEITE","100.0","97.77","100.0","89.55","-23.4416242","-46.7120321","355030842000773","-23.441068","-46.711766","355030842000535","-23.441068","-46.711766","0","67.54237479","1","7.95279198",False,True
3449,"ATILIO BRUGNOLI","100.0",NULL,"PARQUE NACOES UNIDAS",2642835,"59880642","TRAVESSA  AMALIA BRUGNOLI","100.0",NULL,"JARDIM SOUZA","100.0","100.0","31.25","90.0","-23.4456044","-46.73906136","355030842000793","-23.688","-46.746883","355030846000115","-23.688","-46.746883","0","26964.98457469","1","26658.72831758",False,False
3450,"PROFESSOR BARROSO DO AMARAL","694.0",NULL,"JARDIM PLANALTO",972644,"59806885","RUA PROFESSOR BARROSO DO AMARAL","684.0",NULL,"JARDIM ANGELA","100.0","98.56","71.43","89.71","-23.68684375","-46.76335453","355030843000159","-23.685961","-46.764271","355030843000159","-23.685961","-46.764251","2.03656247","135.43966019","1","0",True,NULL
3451,"PHILONILIA GONCALVES DOS SANTOS",NULL,NULL,"JARAGUA",2415408,"60305806","RUA  PHILONILIA GONCALVES DOS SANTOS","0.0",NULL,"JARAGUA","100.0",NULL,"100.0","100.0","-23.4455","-46.7312","355030842000785","-23.445408","-46.731362","355030842000403","-23.444808000000002","-46.731925","88.03340245","19.43639063","1","0",False,NULL
3452,"PHILONILIA GONCALVES DOS SANTOS",NULL,NULL,"PARQUE NACOES UNIDAS",2415408,"60305806","RUA  PHILONILIA GONCALVES DOS SANTOS","0.0",NULL,"JARAGUA","100.0",NULL,"29.63","100.0","-23.44401","-46.7327","355030842000785","-23.445408","-46.731362","355030842000403","-23.444808000000002","-46.731925","88.03340245","206.87246427","1","0",False,NULL
3453,"JAIRO DE ALMEIDA MACHADO","401.0",NULL,"JARAGUA",929806,"60461657","RUA  JAIRO DE ALMEIDA MACHADO","253.0",NULL,"JARAGUA","100.0","63.09","100.0","82.62","-23.442168","-46.7256665","355030842000785","-23.441275","-46.72731","355030842000206","-23.4413405","-46.727305","7.30111812","194.86355713","1","51.47822218",False,True
3454,"CAMILLO ZANOTTI","92.0",NULL,"CONJUNTO CITY JARAGUA",841161,"204082609","RUA  CAMILO ZANOTTI","92.0",NULL,"JARAGUA","100.0","100.0","100.0","90.0","-23.438369","-46.731943","355030842000785","-23.438284","-46.73198","355030842000613","-23.438284","-46.73198","0","10.17748132","1","0",False,NULL
