"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
7121,"RUBENS GRISOLIA JARDIM MONTE KEMEL","65.0",NULL,"jardim monte kemel",2894055,"61833642","RUA  RUBENS GRISOLIA VILA SONIA","65.0",NULL,"vila sonia","100.0","100.0","21.43","92.14","-23.6061156","-46.7307234","355030894000368","-23.603011","-46.740253","355030894000111","-23.603011","-46.740253","0","1030.52716367","1","754.1879584",False,False
7122,"JOSE RUFINO FREIRE CORONEL VILA MARIA EUGENIA","83.0",NULL,"vila maria eugenia",719558,"62131350","RUA  JOSE FREIRE VILA TOLSTOI","70.0",NULL,"vila tolstoi","100.0","84.34","50.0","91.87","-23.4993875","-46.7406674","355030895000002","-23.601397","-46.525009","355030876000558","-23.601397","-46.525009","0","24736.75013616","1","24456.02630318",False,False
7123,"CARLO PERINELLO VILA MANGALOT",NULL,NULL,"vila mangalot",1372815,"61871937","RUA  CARLO PERINELLO SAO DOMINGOS","10.0",NULL,"sao domingos","100.0","0.0","48.0","74.8","-23.50280091","-46.74430677","355030895000009","-23.50324","-46.744103","355030895000009","-23.503254","-46.744103","1.55673112","53.06214457","1","0",True,NULL
7124,"ARMANDO FLAMARION COELHO JARDIM SANTO ELIAS","241.0",NULL,"jardim santo elias",2370983,"226104080","RUA  ARMANDO FLAMARION COELHO SAO DOMINGOS","241.0",NULL,"sao domingos","100.0","100.0","40.0","94.0","-23.49720325","-46.75007511","355030895000013","-23.497073","-46.749887","355030895000013","-23.497073","-46.749887","0","24.03600004","1","0",True,NULL
7125,"FABIO DE ALMEIDA MAGALHAES JARDIM SANTO ELIAS","95.0",NULL,"jardim santo elias",421353,"226104077","RUA  FABIO DE ALMEIDA MAGALHAES SAO DOMINGOS","95.0",NULL,"sao domingos","100.0","100.0","40.0","94.0","-23.496438","-46.7498819","355030895000013","-23.496728","-46.748568","355030895000013","-23.496728","-46.748568","0","137.81104341","1","0",True,NULL
7126,"PADRE ANIBAL DIFRANCIA JARDIM MANGALOT","157.0",NULL,"jardim mangalot",656935,"61878053","RUA PADRE ANIBAL DIFRANCIA SAO DOMINGOS","157.0",NULL,"sao domingos","100.0","100.0","44.44","94.44","-23.491773","-46.749452","355030895000017","-23.490579","-46.749532","355030895000031","-23.490579","-46.749532","0","133.01734898","1","75.62639086",False,True
7127,"CORONEL ALBINO REGO PARQUE MARIA DOMITILA","132.0",NULL,"parque maria domitila",2346186,"58738317","RUA CORONEL ALBINO BAIRAO BELEM","131.0",NULL,"belem","85.0","99.24","15.38","80.89","-23.49589097","-46.73913288","355030895000018","-23.542602","-46.604004","355030808000023","-23.542602","-46.604004","0","14723.97503028","1","14622.60430636",False,False
7128,"TINGUIDAPRAIA VILA LOURDES","2.0",NULL,"vila lourdes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.0","-23.52982606","-46.39959725","355030896000108",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,NULL
7129,"AGOSTINHO DOS SANTOS PARQUE SAO DOMINGOS","235.0",NULL,"parque sao domingos",336275,"61667495","ALAMEDA  SANTOS VILA MARIANA","535.0",NULL,"vila mariana","100.0","43.93","38.71","82.66","-23.503255","-46.7390305","355030895000023","-23.569013","-46.649107","355030890000716","-23.569013","-46.649107","0","11726.15201449","1","11546.11131416",False,False
7130,"GENERAL LAURO CAVALCANTI DE FARIAS JARDIM MANGALOT","438.0",NULL,"jardim mangalot",647197,"62862567","RUA GENERAL LAURO CAVALCANTI DE FARIAS SAO DOMINGOS","437.0",NULL,"sao domingos","100.0","99.77","44.44","94.4","-23.49030021","-46.74684631","355030895000032","-23.490309","-46.747337","355030895000097","-23.490309","-46.747337","0","50.05014485","1","9.79097943",False,True
7131,"JANNART MOUTINHO RIBEIRO JARDIM MANGALOT","134.0",NULL,"jardim mangalot",1201930,"61882054","RUA  JANNART MOUTINHO RIBEIRO SAO DOMINGOS","134.0",NULL,"sao domingos","100.0","100.0","44.44","94.44","-23.489706","-46.748699","355030895000043","-23.489718","-46.748564","355030895000043","-23.489718","-46.748564","0","13.83188264","1","0",True,NULL
7132,"JERONIMO TELES JUNIOR PIRITUBA","125.0",NULL,"pirituba",2446679,"61886039","RUA  JERONIMO TELES JUNIOR SAO DOMINGOS","125.0",NULL,"sao domingos","100.0","100.0","20.0","92.0","-23.5015368","-46.7514254","355030895000056","-23.501538","-46.751672","355030895000056","-23.501538","-46.751672","0","25.14649591","1","0",True,NULL
7133,"CORONEL JOSE VENANCIO DIAS JARAGUA","115.0",NULL,"jaragua",167785,"62858508","RUA CORONEL JOSE VENANCIO DIAS PARQUE SAO DOMINGOS","110.0",NULL,"parque sao domingos","100.0","95.65","30.77","92.21","-23.482594","-46.756666","355030895000064","-23.482432","-46.756705","355030895000139","-23.482432","-46.756705","0","18.44749468","1","2.50039401",False,True
7134,"SERVINO MENGARDA PARQUE SAO DOMINGOS","66.0",NULL,"parque sao domingos",2537421,"62861294","RUA  SERVINO MENGARDA SAO DOMINGOS","66.0",NULL,"sao domingos","100.0","100.0","100.0","100.0","-23.498748","-46.739793","355030895000088","-23.498829","-46.739823","355030895000088","-23.498831000000003","-46.7398225","0.2281601","9.5121611","1","0",True,NULL
7135,"EMILIO COLELLA PARQUE SAO DOMINGOS","236.0",NULL,"parque sao domingos",2085489,"61869733","RUA  EMILIO COLELLA SAO DOMINGOS","233.0",NULL,"sao domingos","100.0","98.73","100.0","99.75","-23.49856447","-46.74004784","355030895000088","-23.498864","-46.740238","355030895000002","-23.498864","-46.740238","0","38.53997066","1","13.430048",False,True
7136,"LUIS ELIAS ATTIE PARQUE SAO DOMINGOS","296.0",NULL,"parque sao domingos",370053,"103332104","RUA  LUIS ELIAS ATTIE SAO DOMINGOS","443.0",NULL,"sao domingos","100.0","66.82","100.0","93.36","-23.49849","-46.73753","355030895000088","-23.499108","-46.73829","355030895000128","-23.499108","-46.73829","0","103.57832008","1","2.34954456",False,True
7137,"LUIZ ELIAS ATTIE PARQUE SAO DOMINGOS","226.0",NULL,"parque sao domingos",2907244,"203464552","TRAVESSA  ELIAS JD ITAPURA II","262.0",NULL,"jardim itapura ii","100.0","86.26","33.33","90.59","-23.49817","-46.73703","355030895000088","-23.685756","-46.660349","355030822000096","-23.685756","-46.660349","0","22274.19318916","1","22056.18054137",False,False
7138,"DARCILENA GUAIANAZES","2.0",NULL,"guaianazes",2224219,"62918699","RUA  DARCILENA LAJEADO","2.0",NULL,"lajeado","100.0","100.0","23.53","92.35","-23.54019076","-46.41091678","355030896000015","-23.540049","-46.410845","355030896000015","-23.540049","-46.410845","0","17.37861882","1","0",True,NULL
7139,"DARCILENA GUAIANASES","12.0",NULL,"guaianases",2262246,"62918615","RUA  DARCILENA LAJEADO","12.0",NULL,"lajeado","100.0","100.0","23.53","92.35","-23.5399646","-46.4112073","355030896000015","-23.540027","-46.411339","355030896000015","-23.540027","-46.411339","0","15.11269075","1","0",True,NULL
7140,"HORACIO ROMEU JARDIM MARISTELA","121.0",NULL,"jardim maristela",2765087,"62862846","RUA  HORACIO ROMEU PARQUE SAO DOMINGOS","121.0",NULL,"parque sao domingos","100.0","100.0","40.0","94.0","-23.489603","-46.751404","355030895000099","-23.489576","-46.751522","355030895000099","-23.489576","-46.751522","0","12.40257506","1","0",True,NULL
7141,"BELARMINO PRESTES 44 JARDIM JARAGUA","44.0",NULL,"jardim jaragua",156565,"211022319","TRAVESSA  04 JARDIM ANGELA","43.0",NULL,"jardim angela","100.0","97.73","74.07","96.95","-23.489216","-46.758556","355030895000100","-23.69127","-46.777068","355030843000813","-23.69127","-46.777068","0","22546.46578634","1","22312.59646481",False,False
7142,"MIGUEL PEREIRA LANDIM JARDIM JARAGUA","193.0",NULL,"jardim jaragua",1931824,"211872129","VIELA  MIGUEL JARDIM COLOMBO","160.0",NULL,"jardim colombo","100.0","82.9","60.0","92.58","-23.489355","-46.75686333","355030895000100","-23.607819","-46.729207","355030894000176","-23.607819","-46.729207","0","13470.9070957","1","13279.19988544",False,False
7143,"MIGUEL PEREIRA LANDIM JARDIM JARAGUA","253.0",NULL,"jardim jaragua",4166,"204193713","TRAVESSA  MIGUEL CHACARA COCAIA","305.0",NULL,"chacara cocaia","100.0","82.95","42.86","90.88","-23.48993047","-46.75654231","355030895000100","-23.768239","-46.690897","355030830000912","-23.768221500000003","-46.690948","5.54276492","31660.86048276","1","31470.87935003",False,False
7144,"BOAVENTURA PEREIRA PARQUE ANHANGUERA SAO DOMIN","235.0",NULL,"parque anhanguera sao domin",2872377,"62864676","RUA  BOAVENTURA PEREIRA SAO DOMINGOS","235.0",NULL,"sao domingos","100.0","100.0","46.15","94.62","-23.4911848","-46.7600507","355030895000107","-23.490657","-46.760508","355030895000107","-23.490657","-46.760508","0","74.96145084","1","0",True,NULL
7145,"ANASTACIO CITY AMERICA","565.0",NULL,"city america",89426,"62868719","AVENIDA  DO ANASTACIO AVENIDA ANASTACIO","565.0",NULL,"avenida anastacio","100.0","100.0","27.59","92.76","-23.503355","-46.733435","355030895000120","-23.503297","-46.733377","355030895000120","-23.503297","-46.733377","0","8.75055006","1","0",True,NULL
7146,"TOMAS LOPES FERREIRA PARQUE SAO DOMINGOS","110.0",NULL,"parque sao domingos",1863818,"58019112","RUA  TOMAS LOPES BRASILANDIA","64.0",NULL,"brasilandia","100.0","58.18","20.0","83.64","-23.50001361","-46.73791444","355030895000129","-23.467188","-46.69095","355030811000045","-23.467188","-46.69095","0","6021.94943637","1","5664.6029656",False,False
7147,"JOAQUIM OLIVEIRA FREITAS VILA MANGALOT","1820.0",NULL,"vila mangalot",201835,"61873154","RUA  JOAQUIM OLIVEIRA FREITAS SAO DOMINGOS","1754.0",NULL,"sao domingos","100.0","96.37","48.0","94.07","-23.4915994","-46.7450078","355030895000131","-23.492413","-46.745153","355030895000155","-23.492413","-46.745153","0","91.67209463","1","0",False,True
7148,"FREGUESIA DA CACHOEIRA JARDIM LAJEADO","77.0",NULL,"jardim lajeado",16882,"221572617","VIELA  CACHOEIRA JARDIM LUCELIA","72.0",NULL,"jardim lucelia","100.0","93.51","71.43","95.84","-23.5322476","-46.3998089","355030896000078","-23.758523","-46.678219","355030830000024","-23.758523","-46.678219","0","37911.47298483","1","37714.27573146",False,False
7149,"JOAQUIM JOSE DE LIMA JARAGUA","13.0",NULL,"jaragua",134070,"205269373","VIELA  JOSE PERI ALTO","13.0",NULL,"peri alto","100.0","100.0","25.0","92.5","-23.4809372","-46.7579916","355030895000138","-23.454797","-46.667263","355030813000337","-23.454797","-46.667263","0","9699.83135907","1","9588.36120391",False,False
7150,"EVANDRO DANTON FERREIRA GANDRA VILA MANGALOT","148.0",NULL,"vila mangalot",2537994,"211075453","VIELA  FERREIRA PARQUE FIGUEIRA GRANDE","39.0",NULL,"parque figueira grande","100.0","26.35","28.57","78.13","-23.4969","-46.7434","355030895000150","-23.681317","-46.74578","355030846000065","-23.681317","-46.74578","0","20507.69718638","1","20107.06222458",False,NULL
