"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
"17","RUA 22 DE ABRIL JD CANHEMA","113",NULL,"JD CANHEMA","178745","224613988","RUA  VINTE E DOIS DE ABRIL CANHEMA","0",NULL,"CANHEMA","100","15.75","18.03","39.61","-23.67801","-46.604824","351380105000381","-23.677853","-46.604867","351380105000381","-23.677806","-46.604867","5.22616875","17.9984259","1","0",True,NULL
"18","RUA JOSE VICENTE JD INAMAR","122",NULL,"JD INAMAR","99539","49377021","RUA  JOSE VICENTE INAMAR","122",NULL,"INAMAR","100","20.66","16.73","44.14","-23.717048","-46.613337","351380105000283","-23.717143","-46.613307","351380105000283","-23.717143","-46.613307","0","10.99617384","1","0",True,NULL
"19","RUA JAVARI JD PAINEIRAS","635",NULL,"JD PAINEIRAS","21410","199951524","RUA  JAVARI TABOAO","635",NULL,"TABOAO","100","23.37","10.82","40.33","-23.664817","-46.617645","351380105000374","-23.664585","-46.617682","351380105000374","-23.664585","-46.617682","0","26.07102378","1","0",True,NULL
"20","AV ELDORADO JARDIM RUYCE","817",NULL,"JARDIM RUYCE","98493","49360155","AVENIDA  ELDORADO JARDIM RUYCE","817",NULL,"JARDIM RUYCE","100","22.84","100","59.68","-23.710703","-46.599918","351380105000846","-23.710919","-46.600193","351380105000846","-23.710919","-46.600193","0","36.8880132","1","0",True,NULL
"21","RUA ODETE AMARAL DE OLIVEIRA PRQ REAL","129",NULL,"PRQ REAL","168293","49396454","RUA  ODETE AMARAL DE OLIVEIRA CONCEICAO","129",NULL,"CONCEICAO","100","20.41","11.59","39.33","-23.693584","-46.622844","351380105000675","-23.693253","-46.623149","351380105000675","-23.693253","-46.623149","0","48.15717031","1","0",True,NULL
"22","RUA PRUDENTE DE MORAIS JARDIM CASA GRANDE","300",NULL,"JARDIM CASA GRANDE","139970","97191880","RUA  PRUDENTE DE MORAIS CASA GRANDE","300",NULL,"CASA GRANDE","100","17.27","18.4","41.63","-23.695878","-46.599147","351380105000237","-23.695952","-46.599154","351380105000237","-23.695952","-46.599154","0","8.25924689","1","0",True,NULL
"23","AV LICO MAIA SERRARIA","803",NULL,"SERRARIA","11343","49428430","AVENIDA  LICO MAIA SERRARIA","803",NULL,"SERRARIA","100","24.22","100","61.51","-23.699036","-46.610028","351380105000466","-23.699077","-46.610001","351380105000466","-23.699077","-46.610001","0","5.32371354","1","0",True,NULL
"24","AVN PRESIDENTE JUSCELINO PIRAPORINHA","759",NULL,"PIRAPORINHA","177846","49341397","AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA","0","OUTROS 2","PIRAPORINHA","100","15.52","100","47.87","-23.68301","-46.589364","351380105000995","-23.681724","-46.592932","351380105000767","-23.681724","-46.592932","0","390.45971149","1","55.28077887",False,True
"25","AVENIDA SINESIO PEREIRA CAMPANARIO","27",NULL,"CAMPANARIO","25087","200897118","AVENIDA  SYNESIO PEREIRA CAMPANARIO","27",NULL,"CAMPANARIO","16.67","17.61","100","18.4","-23.663797","-46.624519","351380105000064","-23.663601","-46.62451","351380105000064","-23.663601","-46.62451","0","21.81350222","1","0",True,NULL
"26","AVENIDA AFRANIO PEIXOTO VILA PAULINA","643",NULL,"VILA PAULINA","59618","97192663","AVENIDA  AFRANIO PEIXOTO ELDORADO","443","TERREO","ELDORADO","100","14.34","10.48","32.8","-23.729499","-46.616013","351380105000940","-23.730018","-46.618095","351380105000632","-23.729991","-46.618116","3.68554423","219.65180712","1","114.05750489",False,True
"27","RUA ITALIA JARDIM DAS NACOES","290",NULL,"JARDIM DAS NACOES","151049","49307508","RUA  ITALIA TABOAO","290",NULL,"TABOAO","100","19.98","10.79","38.05","-23.673751","-46.609552","351380105000119","-23.673847","-46.609518","351380105000119","-23.673847","-46.609518","0","11.22223542","1","0",True,NULL
"28","RUA GRACIOSA CENTRO",NULL,NULL,"CENTRO","150346","50151848","RUA  GRACIOSA CENTRO","438",NULL,"CENTRO","100","12.77","100","42.25","-23.688461","-46.624804","351380105000531","-23.691661","-46.623653","351380105000002","-23.691661","-46.623653","0","374.62895715","1","347.01984436",False,True
"29","RUA CARAMURU VL CONCEICAO","1255",NULL,"VL CONCEICAO","131520","200541649","RUA  CARAMURU CONCEICAO","1255","TERREO INCLUSAO 2","CONCEICAO","100","23.63","17.29","47.06","-23.691191","-46.610021","351380105000350","-23.691294","-46.609601","351380105000350","-23.6912905","-46.609658499999995","5.86779861","44.27314236","1","0",True,NULL
"30","RUA MANOEL DA NOBREGA VL CONCEICAO","605",NULL,"VL CONCEICAO","135351","50151149","RUA  MANOEL DA NOBREGA CENTRO","605",NULL,"CENTRO","100","22.24","11.13","40.03","-23.690327","-46.622732","351380105000528","-23.690329","-46.622834","351380105000528","-23.690329","-46.622834","0","10.38850194","1","0",True,NULL
