"_id","_data_ingestion_id","_created_at","_updated_at","_geom","_geog","co_entidade","nu_ano_censo","sg_uf","co_municipio","no_municipio","no_distrito","co_distrito","no_entidade","tp_localizacao","tp_localizacao_diferenciada","ds_endereco","nu_endereco","ds_complemento","no_bairro","co_cep","fonte_geo","tipo_geo","latitude","longitude","cd_setor_2022","lat","lon","precisao","tipo_resultado","desvio_metros","endereco_encontrado","contagem_cnefe","empate","cd_setor_verdadeiro","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros_final","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
7210,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000001D1549055F904FC0A318C517923C24C0","0101000020E61000001D1549055F904FC0A318C517923C24C0",11041986,2024,"RO",1100023,"Ariquemes","Ariquemes",110002305,"EMEIEF PAULINA MAFINI",2,0,"AREA RURAL",NULL,"JOELANDIA","AREA RURAL DE ARIQUEMES","76878899","Catálogo de Escolas - agosto/2024","0","-10.1183021","-63.1278998","110002305000129","-9.914413869624408","-63.03236814099321","municipio","dm01","55536","ARIQUEMES - RO",35565,False,"110002305000129","110002305000001","-9.914413869624408","-63.03236814099321","0","24968.33821331","1","24731.11419613",False,False
7322,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000001BD5E940D6F34FC082EA7AFDA44D24C0","0101000020E61000001BD5E940D6F34FC082EA7AFDA44D24C0",11044306,2024,"RO",1100452,"Buritis","Buritis",110045205,"EMEIEF JOSE AMERICO DE ALMEIDA",2,0,"LINHA 20, KM 12 GLEBA 05 LOTE 29",NULL,NULL,NULL,"76880000","Catálogo de Escolas - agosto/2024","0","-10.1516494","-63.904976","110045205000039","-10.20447469169859","-63.83498092958366","municipio","dm01","16924","BURITIS - RO",3349,False,"110045205000039","110045205000002","-10.20447469169859","-63.83498092958366","0","9653.39600577","1","535.01921063",False,False
7355,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000D79B621FAEA84FC0062B4EB5165224C0","0101000020E6100000D79B621FAEA84FC0062B4EB5165224C0",11043210,2024,"RO",1101401,"Monte Negro","Monte Negro",110140105,"EMEIEF FRANCISCO DOS SANTOS",2,0,"BR 421, L. C. 35, KM 10","S/N",NULL,"ZONA RURAL","76888000","Catálogo de Escolas - agosto/2024","0","-10.1603295","-63.3178138","110140105000014","-10.231143613329785","-63.308743965355674","municipio","dm01","25311","MONTE NEGRO - RO",2370,False,"110140105000014","110140105000006","-10.231143613329785","-63.308743965355674","0","7936.49615336","1","5317.77797261",False,True
7499,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000385ECB7564D64FC04F5D54E6416124C0","0101000020E6100000385ECB7564D64FC04F5D54E6416124C0",11044292,2024,"RO",1100452,"Buritis","Buritis",110045205,"EMEIEF JOSE BONIFACIO DE ANDRADA E SILVA",2,0,"LINHA C 34, PA RIO ALTO KM 25",NULL,NULL,NULL,"76880000","Catálogo de Escolas - agosto/2024","0","-10.1899559","-63.6749408","110045205000040","-10.20447469169859","-63.83498092958366","municipio","dm01","16924","BURITIS - RO",3349,False,"110045205000040","110045205000002","-10.20447469169859","-63.83498092958366","0","17588.82573322","1","11014.44083142",False,False
7507,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000000EE5FA2DF0234FC0F03A76AB426224C0","0101000020E61000000EE5FA2DF0234FC0F03A76AB426224C0",11041340,2024,"RO",1101609,"Theobroma","Theobroma",110160905,"EMEIEF JOAO MARQUES FERREIRA",2,0,"RO 133 KM 15 TV 04",NULL,"ZONA RURAL","ZONA RURAL","76866000","Catálogo de Escolas - agosto/2024","0","-10.1919149","-62.2807672","110160905000021","-10.159759542664064","-62.385572742930464","municipio","dm01","28461","THEOBROMA - RO",1707,False,"110160905000021","110160905000012","-10.159759542664064","-62.385572742930464","0","12014.89857357","1","11367.07509416",False,False
7529,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000003CA2427573024FC0E51E5C4B126524C0","0101000020E61000003CA2427573024FC0E51E5C4B126524C0",11021217,2024,"RO",1101807,"Vale do Paraíso","Vale do Paraíso",110180705,"EMEIEF JORGE TEIXEIRA",2,0,"LH 614 DISTRITO DE SANTA ROSA","S /Nº","AVENIDA PRINCIPAL","ZONA RURAL","76923000","Catálogo de Escolas - agosto/2024","0","-10.1974052","-62.0191485","110180705000006","-10.404200605688423","-62.11682692231803","municipio","dm01","25449","VALE DO PARAISO - RO",1221,False,"110180705000006","110180705000004","-10.404200605688423","-62.11682692231803","0","25356.4588237","1","24410.71643002",False,False
7534,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000009A63D410B0EA4FC05EE7F05A536624C0","0101000020E61000009A63D410B0EA4FC05EE7F05A536624C0",11047399,2024,"RO",1100452,"Buritis","Buritis",110045205,"EMEIEF JOSUE DE CASTRO",1,0,"AV RONDONIA ESQUINA COM PETROPOLIS","2109",NULL,"SETOR 06","76880000","Catálogo de Escolas - agosto/2024","0","-10.1998547","-63.8334981","110045205000061","-10.20447469169859","-63.83498092958366","municipio","dm01","16924","BURITIS - RO",3349,False,"110045205000061","110045205000002","-10.20447469169859","-63.83498092958366","0","538.7413231","1","180.34309952",False,True
7536,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000005F0196A652EA4FC05E13D21A836624C0","0101000020E61000005F0196A652EA4FC05E13D21A836624C0",11039582,2024,"RO",1100452,"Buritis","Buritis",110045205,"EEEMTI MARECHAL RONDON",1,0,"RUA CHUPINGUAIA","2220","ESCOLA","SETOR 04","76880000","Catálogo de Escolas - agosto/2024","0","-10.200219","-63.8306473","110045205000060","-10.200190544128418","-63.83049392700195","numero","dn03","6","RUA CHUPINGUAIA, 2220 - SETOR 04, BURITIS - RO, 76880-000",1,False,"110045205000060","110045205000060","-10.200190544128418","-63.83049392700195","0","17.08041748","1","0",True,NULL
7538,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000B1D039059AE94FC07D9F3FA7FF6624C0","0101000020E6100000B1D039059AE94FC07D9F3FA7FF6624C0",11044187,2024,"RO",1100452,"Buritis","Buritis",110045205,"EMEIEF SEBASTIAO THEODORO BERNARDO FILHO",1,0,"RUA FORTE PRINCIPE DA BEIRA","1506","ESCOLA","SETOR 05","76880000","Catálogo de Escolas - agosto/2024","0","-10.20116923","-63.82501283","110045205000004","-10.196229818034974","-63.825947297822445","localidade","db01","407","SETOR 05, BURITIS - RO",345,False,"110045205000004","110045205000043","-10.196229818034974","-63.825947297822445","0","558.6780307","1","406.5103677",False,True
7550,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000004477FF0EFBEA4FC06B8B21EF0B6A24C0","0101000020E61000004477FF0EFBEA4FC06B8B21EF0B6A24C0",11045914,2024,"RO",1100452,"Buritis","Buritis",110045205,"EEEFM MARIA DE ABREU BIANCO",1,0,"AV. FOZ DO IGUACU","2400",NULL,"SETOR 03","76880000","Catálogo de Escolas - agosto/2024","0","-10.2071223","-63.8357867","110045205000002","-10.2046006827185","-63.83165253382649","localidade","db01","555","SETOR 03, BURITIS - RO",1037,False,"110045205000002","110045205000009","-10.2046006827185","-63.83165253382649","0","532.26689654","1","96.9490257",False,True
