"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
"331","RUA JUSTINO LUIZ RONCONI SETOR 01","2122",NULL,"SETOR 01","202004","1695530","RUA  JUSTINO LUIS RONCONI CENTRO","2122",NULL,"CENTRO","23.29","26.01","9.96","20.92","-10.26312537","-63.29858428","110140105000002","-10.262926","-63.29884","110140105000002","-10.262926","-63.29884","0","35.69783207","1","0",True,NULL
"332","RUA JUSTINO LUIZ RONCONI SETOR 01","2080","SETOR 01","SETOR 01","202003","1695529","RUA  JUSTINO LUIS RONCONI CENTRO","2080",NULL,"CENTRO","23.29","24.95","9.96","20.78","-10.26353604","-63.2989815","110140105000002","-10.263435","-63.299072","110140105000002","-10.263435","-63.299072","0","14.97600861","1","0",True,NULL
"333","AV. GOVERNADOR JORGE TEIXEIRA SETOR BELA VISTA","3170",NULL,"SETOR BELA VISTA","892924","98983380","AVENIDA GOVERNADOR JORGE TEIXEIRA SETOR 02","3177",NULL,"SETOR 02","28.39","19.88","14","23.89","-10.26045","-63.297936","110140105000002","-10.256159","-63.302111","110140105000021","-10.256159","-63.302111","0","660.56334617","1","469.95429454",False,NULL
"334","AVENIDA RIO ABUNA CENTRO",NULL,"VISTA ALEGRE DO ABUN","CENTRO","796299","92301814","AVENIDA  BEIRA RIO CENTRO","3534",NULL,"CENTRO","16.74","13.34","100","17.29","-9.65721718","-65.74720348","110020545000012","-12.745474","-60.14314","110030405000003","-12.745474","-60.14314","0","701046.4110861","1","699373.19045291",False,False
"335","RUA ANA NERI ALTO ALEGRE","6361",NULL,"ALTO ALEGRE","88622","1615073","RUA  ANA NERI ALTO ALEGRE","6693",NULL,"ALTO ALEGRE","100","17.21","100","50.96","-12.732246","-60.1129982","110030405000077","-12.733249","-60.110063","110030405000023","-12.733249","-60.110063","0","337.3243608","1","201.93081863",False,True
"336","AV JI-PARANA CENTRO","1191",NULL,"CENTRO","670740","1538116","AVENIDA  JI PARANA CENTRO","1191",NULL,"CENTRO","37.38","25.25","100","36.17","-11.17308299","-61.90759294","110025405000001","-11.172992","-61.907343","110025405000001","-11.172992","-61.907343","0","29.08204555","1","0",True,NULL
"337","RUA SANTOS DUMONT LINO ALVES TEIXEIRA","3665",NULL,"LINO ALVES TEIXEIRA","38482","92293612","RUA  SANTOS DUMONT LINO ALVES TEIXEIRA","3665",NULL,"LINO ALVES TEIXEIRA","100","24.51","100","61.88","-11.17069121","-61.89538473","110025405000043","-11.170816","-61.895657","110025405000011","-11.170816","-61.895657","0","32.78297264","1","0",False,NULL
"338","RUA VALDEMAR FERNANDES DA SILVA LINO ALVES TEIXEIRA","3532","ESCOLA","LINO ALVES TEIXEIRA","38586","92293894","RUA  VALDEMAR FERNANDES DA SILVA LINO ALVES TEIXEIRA","3532",NULL,"LINO ALVES TEIXEIRA","100","24.42","100","61.77","-11.1722854","-61.8968007","110025405000043","-11.171884","-61.896608","110025405000011","-11.171884","-61.896608","0","49.33619417","1","0",False,NULL
"339","AVENIDA MACAPA CUNHA E SILVA","1077","ESCOLA","CUNHA E SILVA","670758","1538306","AVENIDA  MACAPA CUNHA E SILVA","1277",NULL,"CUNHA E SILVA","100","15.32","100","47.49","-11.1744262","-61.9081967","110025405000004","-11.172361","-61.908259","110025405000001","-11.172361","-61.908259","0","229.74062184","1","161.89784323",False,True
"340","AV. JI-PARANA CENTRO","1480","PREDIO","CENTRO","840622","215289606","AVENIDA  JI PARANA CENTRO","1487",NULL,"CENTRO","20.08","20.07","100","21.82","-11.170541","-61.90703","110025405000006","-11.170482","-61.907295","110025405000006","-11.170482","-61.907295","0","29.64352764","1","0",True,NULL
