"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
394,"AVENIDA AVENIDA TIRADENTES SETOR INDUSTRIAL","265.0","PREDIO ESCOLAR","setor industrial",36651,"1263290","AVENIDA  TIRADENTES SERRARIA","236",NULL,"serraria","100.0","89.06","33.33","91.14","-12.7476817","-60.1201725","110030405000025","-10.779591","-65.331468","110010605000006","-10.779591","-65.331468","0","608009.76607029","1","608157.26044265",False,False
395,"AVENIDA JURACI CORREIA MULLER SAO PAULO","6884.0",NULL,"sao paulo",72258,"1611832","AVENIDA  JURACI CORREIA MULLER JARDIM ELDORADO","6455",NULL,"jardim eldorado","100.0","93.77","33.33","92.09","-12.7377487","-60.1094581","110030405000029","-12.736512","-60.113003","110030405000016","-12.736512","-60.113003","0","408.32803741","1","18.4614695",False,True
396,"RUA NOVECENTOS E SETE BOA ESPERANCA","2078.0",NULL,"boa esperanca",105951,"1492374","RUA  SETE SANTA LUZIA","2200",NULL,"santa luzia","100.0","94.45","50.0","93.89","-12.7266106708094","-60.1111048367434","110030405000034","-11.909424","-61.767899","110029605000003","-11.909424","-61.767899","0","201621.25267964","1","201195.06813474",False,NULL
397,"RUA RUA NOVECENTOS E DEZENOVE ARIPUANA","2332.0","COHAB","aripuana",18977,"109351162","AVENIDA  E RESIDENCIAL ESPLANADA","2439",NULL,"residencial esplanada","100.0","95.61","34.48","92.57","-12.7253555","-60.1062277","110030405000035","-11.717068","-61.754858","110028805000078","-11.717068","-61.754858","0","211350.95928084","1","210993.53323977",False,NULL
398,"RUA JOSIAS ANTONIO DA SILVA JARDIM OLIVEIRAS","1465.0",NULL,"jardim oliveiras",613679,"92305905","RUA  JOSIAS ANTONIO DA SILVA JARDIM DAS OLIVEIRAS","1465",NULL,"jardim das oliveiras","100.0","100.0","100.0","100.0","-12.7244817","-60.1376295","110030405000038","-12.725497","-60.137614","110030405000038","-12.725497","-60.137614","0","112.90888146","1","0",True,NULL
399,"RUA JOSIAS ANTONIO DA SILVA JARDIM DAS OLIVEIRAS","1415.0","SHIRLEY CERUTI","jardim das oliveiras",626176,"97986247","RUA  JOSIAS ANTONIO DA SILVA JARDIM DAS OLIVEIRAS","1386",NULL,"jardim das oliveiras","100.0","97.95","100.0","99.59","-12.72593","-60.1378501","110030405000038","-12.726259","-60.137719","110030405000082","-12.726259","-60.137719","0","39.24952434","1","5.47899649",False,True
400,"AVENIDA RIO GRANDE DO SUL PARQUE INDUSTRIAL NOVO TEMP","4641.0",NULL,"parque industrial novo temp",25194,"180254347","RUA  RIO GRANDE DO SUL VISTA ALEGRE","4064",NULL,"vista alegre","100.0","87.57","30.77","90.59","-12.7193245","-60.129276","110030405000039","-11.541832","-61.007343","110009805000033","-11.541832","-61.007343","0","162032.76785638","1","160673.92883275",False,NULL
401,"RUA ARLINDO REBELATO JARDIM AMERICA","6344.0","SETOR 23","jardim america",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.0","-12.722125","-60.1102195","110030405000041",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,NULL
402,"RUA RUA DOMINGOS LINHARES CENTRO S-01","450.0","PREDIO","centro s-01",620676,"1254816","RUA  LINHARES SAO FRANCISCO","417","ENTRADA 1","sao francisco","100.0","92.67","33.33","91.87","-12.7442659","-60.1364149","110030405000043","-10.878681","-61.927017","110012205000109","-10.878681","-61.927017","0","284624.80543841","1","283690.2484912",False,False
403,"AV. CAPITAO CASTRO CENTRO S-01","4807.0","PREDIO TEMPORARIO","centro s-01",239796,"92307342","AVENIDA CAPITAO CASTRO CENTRO","4428","TERREO","centro","100.0","92.12","100.0","98.42","-12.7441101","-60.13714","110030405000043","-12.743454","-60.133746","110030405000043","-12.7434055","-60.133747","5.39405182","375.25942007","1","0",True,NULL
404,"AVENIDA AVENIDA BRIGADEIRO EDUARDO GOMES BELA VISTA","1425.0",NULL,"bela vista",208348,"215098134","AVENIDA BRIGADEIRO EDUARDO GOMES BELA VISTA","1425",NULL,"bela vista","100.0","100.0","100.0","100.0","-12.7308169","-60.1205395","110030405000044","-12.730739","-60.120498","110030405000044","-12.730739","-60.120498","0","9.76177693","1","0",True,NULL
