idx_tratado;endereco_tratado;idx_bruto;endereco_bruto;similaridade;endereco_tratado_normalizado;endereco_bruto_normalizado;cep_tratado;cep_bruto;cep_igual;distancia_metros;lat_tratado;long_tratado;lat_bruto;long_bruto
25;avenida sinesio pereira 27 campanario;25087;avenida  synesio pereira 27 campanario;97,29729729729729;avenida sinesio pereira 27 campanario;avenida  synesio pereira 27 campanario;09931375;09931375;True;48,11612800188388;-23.663797;-46.624089;-23.663601;-46.624510
26;avenida afranio peixoto 643 vila paulina;13421;avenida  afranio peixoto 0 eldorado;80,7017543859649;avenida afranio peixoto 643 vila paulina;avenida  afranio peixoto 0 eldorado;09971360;09971360;True;410,40252783784985;-23.729499;-46.623000;-23.732198;-46.620250
27;rua italia 290 jardim das nacoes;151049;rua  italia 290 taboao;80,0;rua italia 290 jardim das nacoes;rua  italia 290 taboao;09941030;09941030;True;24,90009663485707;-23.673751;-46.609739;-23.673847;-46.609518
28;rua graciosa s/n centro;16347;rua  graciosa 0 centro;95,0;rua graciosa s/n centro;rua  graciosa 0 centro;09910660;09910660;True;120,08457512573703;-23.688461;-46.624156;-23.689491;-46.624510
29;rua caramuru 1255 vl conceicao;131520;rua  caramuru 1255 conceicao;100,0;rua caramuru 1255 vila conceicao;rua  caramuru 1255 conceicao;09911510;09911510;True;44,22424179161061;-23.691191;-46.610021;-23.691294;-46.609601
30;rua manoel da nobrega 605 vl conceicao;87427;rua  manoel da nobrega 0 conceicao;96,875;rua manoel da nobrega 605 vila conceicao;rua  manoel da nobrega 0 conceicao;09910720;09910720;True;877,1643069427856;-23.690327;-46.623089;-23.696836;-46.627956
31;avenida antonio piranga 700 centro;50282;avenida  antonio piranga 700 centro;100,0;avenida antonio piranga 700 centro;avenida  antonio piranga 700 centro;09911160;09911160;True;122,15363448754529;-23.686120;-46.617233;-23.686248;-46.618424
32;rua nelson rodrigues 191 vl conceicao;67716;rua  nelson rodrigues 191 conceicao;100,0;rua nelson rodrigues 191 vila conceicao;rua  nelson rodrigues 191 conceicao;09911440;09911440;True;19,76294397292548;-23.692654;-46.618090;-23.692549;-46.617933
33;rua santo amaro 92 centro;112213;rua santo amaro 92 centro;100,0;rua santo amaro 92 centro;rua santo amaro 92 centro;09913090;09913090;True;951,7035998150119;-23.683663;-46.623000;-23.683683;-46.632346
34;rua coimbra 760 centro;102803;rua  coimbra 70 centro;97,67441860465117;rua coimbra 760 centro;rua  coimbra 70 centro;09910120;09910120;True;560,1735468114827;-23.697643;-46.629555;-23.692726;-46.630752
35;rua bororos 80 conceicao;51832;rua  bororos 480 conceicao;97,95918367346938;rua bororos 80 conceicao;rua  bororos 480 conceicao;09990270;09990270;True;196,66996154989675;-23.700026;-46.615349;-23.698266;-46.615158
36;avenida antonio piranga 556 centro;61402;avenida  antonio piranga 556 centro;100,0;avenida antonio piranga 556 centro;avenida  antonio piranga 556 centro;09990000;09911160;False;202,48423700865007;-23.686446;-46.620974;-23.686288;-46.618993
37;rua javari 635 jardim paineiras;21410;rua  javari 635 taboao;80,0;rua javari 635 jardim paineiras;rua  javari 635 taboao;09932210;09932210;True;166,94483361508824;-23.664802;-46.616060;-23.664585;-46.617682
38;rua sao jorge 98 centro;28001;rua sao jorge 98 centro;100,0;rua sao jorge 98 centro;rua sao jorge 98 centro;09911070;09911070;True;43,08061037133803;-23.685945;-46.626031;-23.686088;-46.626424
39;antonio piranga 556 centro;61402;avenida  antonio piranga 556 centro;100,0;antonio piranga 556 centro;avenida  antonio piranga 556 centro;09911160;09911160;True;18,37582108211386;-23.686447;-46.618944;-23.686288;-46.618993
40;avenida nossa senhora dos navegantes 332 eldorado;938;avenida nossa senhora dos navegantes 332 eldorado;100,0;avenida nossa senhora dos navegantes 332 eldorado;avenida nossa senhora dos navegantes 332 eldorado;09972260;09972260;True;132,61261659978786;-23.717740;-46.625165;-23.717684;-46.623864
