idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN
0;AV ANTONIO PIRANGA CENTRO;614,0;25302,0;AVENIDA  ANTONIO PIRANGA CENTRO;336,0;0,0;54,72;5,47;"AVENIDA  ANTONIO PIRANGA CENTRO 336 | Score Final: 5; AVENIDA  ANTONIO PIRANGA CENTRO 1500 | Score Final: 4; AVENIDA  ANTONIO PIRANGA CENTRO 212 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 192 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 173 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 169 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 166 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 163 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 159 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 152 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 149 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 142 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 141 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 138 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 128 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 126 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 125 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 124 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 118 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 116 | Score Final: 2"
1;AVENIDA ANTONIO PIRANGA CENTRO;700,0;25302,0;AVENIDA  ANTONIO PIRANGA CENTRO;336,0;0,0;48,0;4,8;"AVENIDA  ANTONIO PIRANGA CENTRO 336 | Score Final: 5; AVENIDA  ANTONIO PIRANGA CENTRO 1500 | Score Final: 5; AVENIDA  ANTONIO PIRANGA CENTRO 212 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 192 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 173 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 169 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 166 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 163 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 159 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 152 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 149 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 142 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 141 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 138 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 128 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 126 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 125 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 124 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 118 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 116 | Score Final: 2"
2;AV ANTONIO PIRANGA CENTRO;614,0;25302,0;AVENIDA  ANTONIO PIRANGA CENTRO;336,0;0,0;54,72;5,47;"AVENIDA  ANTONIO PIRANGA CENTRO 336 | Score Final: 5; AVENIDA  ANTONIO PIRANGA CENTRO 1500 | Score Final: 4; AVENIDA  ANTONIO PIRANGA CENTRO 212 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 192 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 173 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 169 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 166 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 163 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 159 | Score Final: 3; AVENIDA  ANTONIO PIRANGA CENTRO 152 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 149 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 142 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 141 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 138 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 128 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 126 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 125 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 124 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 118 | Score Final: 2; AVENIDA  ANTONIO PIRANGA CENTRO 116 | Score Final: 2"
3;RUA DOS CARIRIS PIRAPORINHA;195,0;3541,0;RUA  DOS CARIRIS PIRAPORINHA;195,0;0,0;100,0;10,0;"RUA  DOS CARIRIS PIRAPORINHA 195 | Score Final: 10; RUA  DOS CARIRIS PIRAPORINHA 195 | Score Final: 10; RUA  DOS CARIRIS PIRAPORINHA 156 | Score Final: 8; RUA  DOS CARIRIS PIRAPORINHA 156 | Score Final: 8; RUA  DOS CARIRIS PIRAPORINHA 156 | Score Final: 8; RUA  DOS CARIRIS PIRAPORINHA 156 | Score Final: 8; RUA  DOS CARIRIS PIRAPORINHA 156 | Score Final: 8; RUA  DOS CARIRIS PIRAPORINHA 156 | Score Final: 8; RUA  DOS CARIRIS PIRAPORINHA 156 | Score Final: 8; RUA  DOS CARIRIS PIRAPORINHA 156 | Score Final: 8; RUA  DOS CARIRIS PIRAPORINHA 144 | Score Final: 7; RUA  DOS CARIRIS PIRAPORINHA 144 | Score Final: 7; RUA  DOS CARIRIS PIRAPORINHA 144 | Score Final: 7; RUA  DOS CARIRIS PIRAPORINHA 132 | Score Final: 7; RUA  DOS CARIRIS PIRAPORINHA 132 | Score Final: 7; RUA  DOS CARIRIS PIRAPORINHA 128 | Score Final: 7; RUA  DOS CARIRIS PIRAPORINHA 128 | Score Final: 7; RUA  DOS CARIRIS PIRAPORINHA 120 | Score Final: 6; RUA  DOS CARIRIS PIRAPORINHA 120 | Score Final: 6; RUA  DOS CARIRIS PIRAPORINHA 120 | Score Final: 6"
4;RUA MOACIAR GOULART CUNHA CALDAS CENTRO;111,0;;;;;;;
5;PRACA RUI BARBOSA PIRAPORINHA;27,0;;;;;;;
6;AV NOSSA SENHORA DOS NAVEGANTES ELDORADO;288,0;938,0;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332,0;0,0;86,75;8,67;"AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 9; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 9; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 9; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 364 | Score Final: 8; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 372 | Score Final: 8; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 372 | Score Final: 8; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 384 | Score Final: 8; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 392 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 392 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 392 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 394 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 396 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 400 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 400 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 402 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 402 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 408 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 408 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 408 | Score Final: 7; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 408 | Score Final: 7"
7;RUA CAPIBARIBE JARDIM CAMPANARIO;193,0;;;;;;;
8;AV PIRAPORINHA PIRAPORINHA;1682,0;30100,0;AVENIDA  PIRAPORINHA PIRAPORINHA;1682,0;0,0;100,0;10,0;"AVENIDA  PIRAPORINHA PIRAPORINHA 1682 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1687 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1677 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1673 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 10; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 10"
9;RUA JOSE BONIFACIO SERRARIA;1641,0;40021,0;RUA  JOSE BONIFACIO SERRARIA;1390,0;0,0;84,7;8,47;"RUA  JOSE BONIFACIO SERRARIA 1390 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1390 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1390 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1380 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1380 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1380 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1380 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1374 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1374 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1374 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1374 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1370 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1370 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1370 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1370 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1370 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1364 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1364 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1364 | Score Final: 8; RUA  JOSE BONIFACIO SERRARIA 1364 | Score Final: 8"
