idx_df1;endereco_df1;numero_df1;complemento_df1;bairro_df1;idx_df2;cod_unico_df2;endereco_df2;numero_df2;complemento_df2;bairro_df2;similaridade_logradouro;similaridade_numero;similaridade_bairro;similaridade_final;latitude_verdadeira;longitude_verdadeira;cd_setor_verdadeiro;latitude_resultante;longitude_resultante;cd_setor_resultante;desvio_metros
19;RUA JAVARI JD PAINEIRAS;635.0;;jardim paineiras;21410;199951524;RUA  JAVARI TABOAO;635;;taboao;100.0;100.0;18.18;91.82;-23.664817;-46.617645;351380105000374;-23.664585;-46.617682;351380105000374;26.071023899618858
20;AV ELDORADO JARDIM RUYCE;817.0;;jardim ruyce;98493;49360155;AVENIDA  ELDORADO JARDIM RUYCE;817;;jardim ruyce;100.0;100.0;100.0;100.0;-23.710703;-46.599918;351380105000846;-23.710919;-46.600193;351380105000846;36.888013361598354
21;RUA ODETE AMARAL DE OLIVEIRA PRQ REAL;129.0;;parque real;168293;49396454;RUA  ODETE AMARAL DE OLIVEIRA CONCEICAO;129;;conceicao;100.0;100.0;20.0;92.0;-23.693584;-46.622844;351380105000675;-23.693253;-46.623149;351380105000675;48.15717052202602
22;RUA PRUDENTE DE MORAIS JARDIM CASA GRANDE;300.0;;jardim casa grande;80538;49363530;RUA  PRUDENTE DE MORAIS CASA GRANDE;384;;casa grande;100.0;78.12;100.0;95.62;-23.695878;-46.599147;351380105000237;-23.695485;-46.600048;351380105000235;101.61665884595497
23;AV LICO MAIA SERRARIA;803.0;;serraria;11343;49428430;AVENIDA  LICO MAIA SERRARIA;803;;serraria;100.0;100.0;100.0;100.0;-23.699036;-46.610028;351380105000466;-23.699077;-46.610001;351380105000466;5.32371356320397
24;AVN PRESIDENTE JUSCELINO PIRAPORINHA;759.0;;piraporinha;21;200706717;AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA;330;BLOCO B;piraporinha;100.0;43.48;100.0;88.7;-23.683010;-46.589364;351380105000995;-23.682106;-46.592738;351380105000913;357.97978187391146
24;AVN PRESIDENTE JUSCELINO PIRAPORINHA;759.0;;piraporinha;27;200708064;AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA;330;BLOCO C;piraporinha;100.0;43.48;100.0;88.7;-23.683010;-46.589364;351380105000995;-23.682209;-46.592938;351380105000913;374.6832292132413
25;AVENIDA SINESIO PEREIRA CAMPANARIO;27.0;;campanario;25087;200897118;AVENIDA  SYNESIO PEREIRA CAMPANARIO;27;;campanario;93.33;100.0;100.0;95.33;-23.663797;-46.624519;351380105000064;-23.663601;-46.624510;351380105000064;21.81350231815565
26;AVENIDA AFRANIO PEIXOTO VILA PAULINA;643.0;;vila paulina;58365;97192636;AVENIDA  AFRANIO PEIXOTO ELDORADO;541;SOBRADO;eldorado;100.0;84.14;20.0;88.83;-23.729499;-46.616013;351380105000940;-23.729916;-46.617195;351380105000632;128.94589936356044
27;RUA ITALIA JARDIM DAS NACOES;290.0;;jardim das nacoes;79140;49295826;RUA  ITALIA TABOAO;291;;taboao;100.0;99.66;26.09;92.54;-23.673751;-46.609552;351380105000119;-23.673809;-46.609653;351380105000078;12.140313646399234
27;RUA ITALIA JARDIM DAS NACOES;290.0;;jardim das nacoes;79339;49295886;RUA  ITALIA TABOAO;291;CASA 2;taboao;100.0;99.66;26.09;92.54;-23.673751;-46.609552;351380105000119;-23.673853;-46.609667;351380105000078;16.303182733930115
28;RUA GRACIOSA CENTRO;;;centro;15506;50151337;RUA  GRACIOSA CENTRO;187;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689571;-46.624499;351380105000526;127.27387224429074
28;RUA GRACIOSA CENTRO;;;centro;15957;50151338;RUA  GRACIOSA CENTRO;185;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689557;-46.624505;351380105000526;125.61529691811005
28;RUA GRACIOSA CENTRO;;;centro;15958;50151339;RUA  GRACIOSA CENTRO;173;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689505;-46.624526;351380105000526;119.4891786910733
28;RUA GRACIOSA CENTRO;;;centro;16347;200545302;RUA  GRACIOSA CENTRO;0;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689491;-46.624510;351380105000526;118.37882059868281
28;RUA GRACIOSA CENTRO;;;centro;32133;49220345;RUA  GRACIOSA CENTRO;516;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692479;-46.623488;351380105000549;466.444340881593
28;RUA GRACIOSA CENTRO;;;centro;32178;49220347;RUA  GRACIOSA CENTRO;528;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692532;-46.623385;351380105000549;475.1756601853312
28;RUA GRACIOSA CENTRO;;;centro;32410;49220346;RUA  GRACIOSA CENTRO;520;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692516;-46.623402;351380105000549;472.9557249200001
28;RUA GRACIOSA CENTRO;;;centro;32591;49220344;RUA  GRACIOSA CENTRO;508;FRENTE;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692293;-46.623399;351380105000549;449.4752939001349
28;RUA GRACIOSA CENTRO;;;centro;43202;200545332;RUA  GRACIOSA CENTRO;0;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689297;-46.624572;351380105000526;95.91384780510505
28;RUA GRACIOSA CENTRO;;;centro;43270;50151272;RUA  GRACIOSA CENTRO;0;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690995;-46.623984;351380105000526;293.87937107110383
28;RUA GRACIOSA CENTRO;;;centro;43306;50151353;RUA  GRACIOSA CENTRO;117;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689038;-46.624821;351380105000526;64.18290900973324
28;RUA GRACIOSA CENTRO;;;centro;43307;200545326;RUA  GRACIOSA CENTRO;125;SOBRADO A;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689125;-46.624726;351380105000526;74.2594956490943
28;RUA GRACIOSA CENTRO;;;centro;43365;200545319;RUA  GRACIOSA CENTRO;35;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688242;-46.625162;351380105000526;43.83932032807843
28;RUA GRACIOSA CENTRO;;;centro;43424;50151361;RUA  GRACIOSA CENTRO;61;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.688567;-46.625012;351380105000526;24.238630984919006
