idx_df1;endereco_df1;numero_df1;complemento_df1;bairro_df1;idx_df2;cod_unico_df2;endereco_df2;numero_df2;complemento_df2;bairro_df2;similaridade_logradouro;similaridade_numero;similaridade_bairro;similaridade_final;latitude_verdadeira;longitude_verdadeira;cd_setor_verdadeiro;latitude_resultante;longitude_resultante;cd_setor_resultante;desvio_metros
29;RUA CARAMURU VL CONCEICAO;1255.0;;vila conceicao;36283;49398148;RUA  CARAMURU CONCEICAO;1264;;conceicao;100.0;99.29;100.0;99.86;-23.691191;-46.610021;351380105000350;-23.691414;-46.609824;351380105000351;31.89424511513941
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605.0;;vila conceicao;2593;199934843;RUA  MANOEL DA NOBREGA CENTRO;350;;centro;100.0;57.85;30.0;84.57;-23.690327;-46.622732;351380105000528;-23.686723;-46.620786;351380105000010;447.06048583371467
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605.0;;vila conceicao;2768;199934831;RUA  MANOEL DA NOBREGA CENTRO;350;;centro;100.0;57.85;30.0;84.57;-23.690327;-46.622732;351380105000528;-23.686904;-46.620933;351380105000010;422.4084907780365
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605.0;;vila conceicao;2844;199934861;RUA  MANOEL DA NOBREGA CENTRO;350;;centro;100.0;57.85;30.0;84.57;-23.690327;-46.622732;351380105000528;-23.686720;-46.620650;351380105000010;453.66346211964384
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605.0;;vila conceicao;3180;199934854;RUA  MANOEL DA NOBREGA CENTRO;350;;centro;100.0;57.85;30.0;84.57;-23.690327;-46.622732;351380105000528;-23.686731;-46.620681;351380105000010;451.11242276183674
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605.0;;vila conceicao;3213;49219919;RUA  MANOEL DA NOBREGA CENTRO;350;;centro;100.0;57.85;30.0;84.57;-23.690327;-46.622732;351380105000528;-23.686706;-46.620805;351380105000010;447.9048365289191
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605.0;;vila conceicao;3319;199934848;RUA  MANOEL DA NOBREGA CENTRO;350;;centro;100.0;57.85;30.0;84.57;-23.690327;-46.622732;351380105000528;-23.686734;-46.620649;351380105000010;452.3354850418962
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605.0;;vila conceicao;3856;199934838;RUA  MANOEL DA NOBREGA CENTRO;350;;centro;100.0;57.85;30.0;84.57;-23.690327;-46.622732;351380105000528;-23.686932;-46.620797;351380105000010;425.8332042340187
31;AVENIDA ANTONIO PIRANGA CENTRO;700.0;;centro;50282;49219193;AVENIDA  ANTONIO PIRANGA CENTRO;700;;centro;100.0;100.0;100.0;100.0;-23.686120;-46.617233;351380105000538;-23.686248;-46.618424;351380105000538;122.10941660665938
32;RUA NELSON RODRIGUES VL CONCEICAO;191.0;;vila conceicao;67716;49396891;RUA  NELSON RODRIGUES CONCEICAO;191;FRENTE;conceicao;100.0;100.0;100.0;100.0;-23.692654;-46.617952;351380105000343;-23.692549;-46.617933;351380105000343;11.834683331356207
33;RUA SANTO AMARO CENTRO;92.0;;centro;112213;97188507;RUA SANTO AMARO CENTRO;92;;centro;100.0;100.0;100.0;100.0;-23.683663;-46.632286;351380105000015;-23.683683;-46.632346;351380105000015;6.501947909961347
34;RUA COIMBRA CENTRO;760.0;;centro;43728;49431198;RUA  COIMBRA CENTRO;763;;centro;100.0;99.61;100.0;99.92;-23.697643;-46.628780;351380105000356;-23.697554;-46.628848;351380105000477;12.077894703231811
35;RUA BOROROS CONCEICAO;80.0;;conceicao;52733;219077816;RUA  BOROROS CONCEICAO;48;GARAGEM 1GARAGEM UBS;conceicao;100.0;60.0;100.0;92.0;-23.700026;-46.618561;351380105000331;-23.700079;-46.619106;351380105000329;55.80241121431329
35;RUA BOROROS CONCEICAO;80.0;;conceicao;52930;49392517;RUA  BOROROS CONCEICAO;48;CASA 3;conceicao;100.0;60.0;100.0;92.0;-23.700026;-46.618561;351380105000331;-23.698280;-46.615111;351380105000329;401.353457077349
36;AVENIDA ANTONIO PIRANGA CENTRO;556.0;;centro;61402;49219183;AVENIDA  ANTONIO PIRANGA CENTRO;556;ENTRADA;centro;100.0;100.0;100.0;100.0;-23.686446;-46.618944;351380105000538;-23.686288;-46.618993;351380105000538;18.263604923118365
37;RUA JAVARI JARDIM PAINEIRAS;635.0;;jardim paineiras;21410;199951524;RUA  JAVARI TABOAO;635;;taboao;100.0;100.0;18.18;91.82;-23.664802;-46.617645;351380105000374;-23.664585;-46.617682;351380105000374;24.42180213263269
38;RUA SAO JORGE CENTRO;98.0;;centro;28001;50151585;RUA SAO JORGE CENTRO;98;;centro;100.0;100.0;100.0;100.0;-23.685945;-46.626568;351380105000002;-23.686088;-46.626424;351380105000002;21.6298225059819
39;ANTONIO PIRANGA CENTRO;556.0;;centro;61402;49219183;AVENIDA  ANTONIO PIRANGA CENTRO;556;ENTRADA;centro;100.0;100.0;100.0;100.0;-23.686447;-46.618944;351380105000538;-23.686288;-46.618993;351380105000538;18.370595043177396
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332.0;;eldorado;938;49434131;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332;;eldorado;100.0;100.0;100.0;100.0;-23.717740;-46.624015;351380105000987;-23.717684;-46.623864;351380105000510;16.58560806303996
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332.0;;eldorado;12274;200917641;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332;;eldorado;100.0;100.0;100.0;100.0;-23.717740;-46.624015;351380105000987;-23.718153;-46.623604;351380105000510;62.12609786292022
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332.0;;eldorado;12598;200917647;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332;;eldorado;100.0;100.0;100.0;100.0;-23.717740;-46.624015;351380105000987;-23.718267;-46.623644;351380105000510;69.7167967516735
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332.0;;eldorado;15152;110575793;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332;CASA 2;eldorado;100.0;100.0;100.0;100.0;-23.717740;-46.624015;351380105000987;-23.718170;-46.623578;351380105000510;65.30963304749031
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332.0;;eldorado;15373;110575794;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332;CASA 7;eldorado;100.0;100.0;100.0;100.0;-23.717740;-46.624015;351380105000987;-23.718158;-46.623506;351380105000510;69.60914967610302
