"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
1151,"RUA ARACAJU","1458.0",NULL,"LIBERDADE",55258,"1322888","RUA  ARACAJU","1458",NULL,"CENTRO","100.0","100.0","26.67","90.0","-13.1948768","-60.8173657","110005605000001","-13.195042","-60.816998","110005605000001","-13.195042","-60.816998","0","43.84098679","1","0",True,NULL
1152,"AVENIDA CASTELO BRANCO","16999.0",NULL,"SANTO ANTONIO",391975,"91959509","AVENIDA  CASTELO BRANCO","16371",NULL,"SANTO ANTONIO","100.0","96.31","100.0","89.26","-11.4411399","-61.4525179","110004905000015","-11.448433","-61.432816","110004905000089","-11.448433","-61.432816","0","2295.23286452","1","2072.95127663",False,NULL
1153,"TRAVESSA ANCHIETA","1145.0",NULL,"LIBERDADE",102611,"91952965","TRAVESSA  ANCHIETA","1145",NULL,"LIBERDADE","100.0","100.0","100.0","90.0","-11.443131","-61.4523179","110004905000015","-11.442876","-61.452158","110004905000015","-11.442876","-61.452158","0","33.28183317","1","0",True,NULL
1154,"AVENIDA PARANA","401.0",NULL,"NOVO HORIZONTE",10057,"91953672","AVENIDA  PARANA","401",NULL,"NOVO HORIZONTE","100.0","100.0","100.0","90.0","-11.4341985","-61.4572278","110004905000017","-11.434161","-61.457104","110004905000017","-11.434161","-61.457104","0","14.12237139","1","0",True,NULL
1155,"AVENIDA RECIFE","1147.0",NULL,"NOVO CACOAL",885345,"91954267","AVENIDA  RECIFE","1147",NULL,"NOVO CACOAL","100.0","100.0","100.0","90.0","-11.4252512","-61.463256","110004905000020","-11.425244","-61.462985","110004905000020","-11.425244","-61.462985","0","29.54758169","1","0",True,NULL
1156,"AVENIDA GETULIO VARGAS","807.0",NULL,"NOVO CACOAL",885180,"91954325","AVENIDA  GETULIO VARGAS","807",NULL,"NOVO CACOAL","100.0","100.0","100.0","90.0","-11.42751711","-61.46085369","110004905000020","-11.427627","-61.46092","110004905000020","-11.427627","-61.46092","0","14.19653446","1","0",True,NULL
1157,"AVENIDA BELO HORIZONTE","3196.0","ESCOLA","JARDIM CLODOALDO",104470,"1170268","AVENIDA  BELO HORIZONTE","3044","EDIFICIO 1","JARDIM CLODOALDO","100.0","95.24","100.0","89.05","-11.4272939","-61.4541895","110004905000044","-11.428675","-61.454838","110004905000043","-11.428664000000001","-61.454836","1.24241756","169.05600019","1","20.5874712",False,True
1158,"AVENIDA BELO HORIZONTE","3196.0","ESCOLA","JARDIM CLODOALDO",104470,"1170268","AVENIDA  BELO HORIZONTE","3044","EDIFICIO 1","JARDIM CLODOALDO","100.0","95.24","100.0","89.05","-11.4272753","-61.4542986","110004905000044","-11.428675","-61.454838","110004905000043","-11.428664000000001","-61.454836","1.24241756","166.37289663","1","20.5874712",False,True
1159,"AVENIDA RECIFE","335.0",NULL,"NOVO CACOAL",756601,"214992374","AVENIDA  RECIFE","335",NULL,"NOVO CACOAL","100.0","100.0","100.0","90.0","-11.4288378","-61.4568083","110004905000024","-11.428768","-61.456822","110004905000024","-11.428768","-61.456822","0","7.90374176","1","0",True,NULL
1160,"AVENIDA PRIMAVERA","2293.0",NULL,"VISTA ALEGRE",948401,"91955343","AVENIDA  PRIMAVERA","2293",NULL,"JARDIM VISTA ALEGRE","97.7","100.0","100.0","88.39","-11.42451806","-61.47272665","110004905000029","-11.424352","-61.472538","110004905000029","-11.424352","-61.472538","0","27.63560364","1","0",True,NULL
1161,"RUA BASILIO DA GAMA","1078.0",NULL,"VISTA ALEGRE",834927,"1165488","RUA  BASILIO DA GAMA","1078",NULL,"JARDIM VISTA ALEGRE","100.0","100.0","100.0","90.0","-11.4288277","-61.4737447","110004905000030","-11.428852","-61.473475","110004905000030","-11.428852","-61.473475","0","29.51860001","1","0",True,NULL
1162,"RUA BASILIO DA GAMA","1272.0","PREDIO ESCOLAR","VISTA ALEGRE",834914,"1165783","RUA  BASILIO DA GAMA","1272",NULL,"JARDIM VISTA ALEGRE","100.0","100.0","100.0","90.0","-11.4285834","-61.4744069","110004905000030","-11.428862","-61.474541","110004905000030","-11.428862","-61.474541","0","34.25362805","1","0",True,NULL
1163,"RUA PROFESSORA ALZIRA SELLERI BARBOSA","1501.0",NULL,"HABITAR BRASIL",47179,"91955951","RUA PROFESSORA ALZIRA S BARBOSA","1501",NULL,"HABITAR BRASIL","97.6","100.0","100.0","88.32","-11.4224019","-61.4795461","110004905000033","-11.422215","-61.480242","110004905000033","-11.422215","-61.480242","0","78.64372554","1","0",True,NULL
1164,"TRAVESSA OURO","160.0",NULL,"CRISTAL DO ARCO-IRIS",254175,"1167364","TRAVESSA  OURO","160",NULL,"BALNEARIO ARCO IRIS","100.0","100.0","51.28","90.0","-11.4320983","-61.46435","110004905000035","-11.431995","-61.464094","110004905000035","-11.431995","-61.464094","0","30.17308316","1","0",True,NULL
1165,"RUA PADRE MANOEL DA NOBREGA","535.0",NULL,"NOVA ESPERANCA",108088,"1175576","RUA PADRE MANOEL DA NOBREGA","536","COMODO","NOVA ESPERANCA","100.0","99.81","100.0","89.96","-11.4230879","-61.4646104","110004905000056","-11.422982","-61.464225","110004905000056","-11.422982","-61.464225","0","43.625027","1","0",True,NULL
1166,"RUA PERIMETRAL LESTE","3401.0","ESCOLA","VILLAGE DO SOL",797073,"108740809","AVENIDA  PERIMETRAL LESTE","4421",NULL,"ROTA DO SOL","100.0","76.93","70.59","85.39","-11.422219","-61.435362","110004905000047","-9.891876","-63.01907","110002305000118","-9.891876","-63.01907","0","242704.50901888","1","241702.82784218",False,False
1167,"RUA ROSINEIA DE SOUZA","4072.0",NULL,"VILAGE DO SOL",49904,"1171776","RUA  ROSINEIA DE SOUZA","4073",NULL,"VILLAGE DO SOL","100.0","99.98","96.3","90.0","-11.4220988","-61.4358752","110004905000047","-11.42198","-61.436271","110004905000047","-11.42198","-61.436271","0","45.11661945","1","0",True,NULL
