"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
17,"RUA 22 DE ABRIL JD CANHEMA","113.0",NULL,"jardim canhema",179101,"224613910","RUA  VINTE E DOIS DE ABRIL CANHEMA","102","CASA 2","canhema","100.0","90.27","100.0","98.05","-23.67801","-46.604824","351380105000381","-23.677738","-46.603947","351380105000381","-23.677738","-46.603947","0","94.29116721","1","0",True,NULL
18,"RUA JOSE VICENTE JD INAMAR","122.0",NULL,"jardim inamar",64177,"97194345","RUA  JOSE VICENTE INAMAR","153",NULL,"inamar","100.0","79.74","100.0","95.95","-23.717048","-46.613337","351380105000283","-23.71738","-46.61337","351380105000886","-23.71738","-46.61337","0","37.06931406","1","1.04435141",False,True
19,"RUA JAVARI JD PAINEIRAS","635.0",NULL,"jardim paineiras",21410,"199951524","RUA  JAVARI TABOAO","635",NULL,"taboao","100.0","100.0","18.18","91.82","-23.664817","-46.617645","351380105000374","-23.664585","-46.617682","351380105000374","-23.664585","-46.617682","0","26.07102378","1","0",True,NULL
20,"AV ELDORADO JARDIM RUYCE","817.0",NULL,"jardim ruyce",98493,"49360155","AVENIDA  ELDORADO JARDIM RUYCE","817",NULL,"jardim ruyce","100.0","100.0","100.0","100.0","-23.710703","-46.599918","351380105000846","-23.710919","-46.600193","351380105000846","-23.710919","-46.600193","0","36.8880132","1","0",True,NULL
21,"RUA ODETE AMARAL DE OLIVEIRA PRQ REAL","129.0",NULL,"parque real",168293,"49396454","RUA  ODETE AMARAL DE OLIVEIRA CONCEICAO","129",NULL,"conceicao","100.0","100.0","20.0","92.0","-23.693584","-46.622844","351380105000675","-23.693253","-46.623149","351380105000675","-23.693253","-46.623149","0","48.15717031","1","0",True,NULL
22,"RUA PRUDENTE DE MORAIS JARDIM CASA GRANDE","300.0",NULL,"jardim casa grande",80538,"49363530","RUA  PRUDENTE DE MORAIS CASA GRANDE","384",NULL,"casa grande","100.0","78.12","100.0","95.62","-23.695878","-46.599147","351380105000237","-23.695485","-46.600048","351380105000235","-23.695485","-46.600048","0","101.61665839","1","9.02530593",False,True
23,"AV LICO MAIA SERRARIA","803.0",NULL,"serraria",11343,"49428430","AVENIDA  LICO MAIA SERRARIA","803",NULL,"serraria","100.0","100.0","100.0","100.0","-23.699036","-46.610028","351380105000466","-23.699077","-46.610001","351380105000466","-23.699077","-46.610001","0","5.32371354","1","0",True,NULL
24,"AVN PRESIDENTE JUSCELINO PIRAPORINHA","759.0",NULL,"piraporinha",27,"200708064","AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA","330","BLOCO C","piraporinha","100.0","43.48","100.0","88.7","-23.68301","-46.589364","351380105000995","-23.682209","-46.592938","351380105000913","-23.682157500000002","-46.592838","11.68285072","374.68322753","1","65.98518197",False,True
25,"AVENIDA SINESIO PEREIRA CAMPANARIO","27.0",NULL,"campanario",25087,"200897118","AVENIDA  SYNESIO PEREIRA CAMPANARIO","27",NULL,"campanario","93.33","100.0","100.0","95.33","-23.663797","-46.624519","351380105000064","-23.663601","-46.62451","351380105000064","-23.663601","-46.62451","0","21.81350222","1","0",True,NULL
26,"AVENIDA AFRANIO PEIXOTO VILA PAULINA","643.0",NULL,"vila paulina",58365,"97192636","AVENIDA  AFRANIO PEIXOTO ELDORADO","541","SOBRADO","eldorado","100.0","84.14","20.0","88.83","-23.729499","-46.616013","351380105000940","-23.729916","-46.617195","351380105000632","-23.729916","-46.617195","0","128.94589878","1","80.35788512",False,True
